sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id
0,1,0.30858707427978516,6,6,1,
1,1,0.3084378242492676,6,6,1,
2,1,0.30938005447387695,9,9,1,
3,1,0.36158227920532227,1,1,1,
4,1,0.3115522861480713,9,9,1,
5,1,0.31903505325317383,2,2,1,
6,1,0.31603026390075684,3,6,0,
7,1,0.3164083957672119,4,4,1,
8,1,0.31019139289855957,4,4,1,
9,1,0.3175685405731201,8,8,1,
10,1,0.30973148345947266,3,3,1,
11,1,0.31560611724853516,0,0,1,
12,1,0.31716036796569824,1,1,1,
13,1,0.30921483039855957,7,7,1,
14,1,0.31162142753601074,8,8,1,
15,1,0.31618642807006836,5,5,1,
16,1,0.3106987476348877,1,1,1,
17,1,0.3149440288543701,4,4,1,
18,1,0.31446361541748047,7,7,1,
19,1,0.31296849250793457,3,3,1,
20,1,0.31038379669189453,4,4,1,
21,1,0.3110311031341553,1,1,1,
22,1,0.31369590759277344,1,1,1,
23,1,0.31732630729675293,3,3,1,
24,1,0.31102752685546875,0,0,1,
25,1,0.31777191162109375,8,8,1,
26,1,0.31134963035583496,7,7,1,
27,1,0.3088862895965576,7,7,1,
28,1,0.3093900680541992,0,0,1,
29,1,0.3170609474182129,2,2,1,
30,1,0.309981107711792,2,2,1,
31,1,0.3230583667755127,2,2,1,
32,1,0.3106355667114258,0,0,1,
33,1,0.3168301582336426,3,3,1,
34,1,0.3112907409667969,7,7,1,
35,1,0.3157384395599365,5,5,1,
36,1,0.30774998664855957,4,4,1,
37,1,0.32233357429504395,0,0,1,
38,1,0.31562328338623047,7,7,1,
39,1,0.3090674877166748,7,7,1,
40,1,0.31200122833251953,4,4,1,
41,1,0.32601165771484375,7,7,1,
42,1,0.3174412250518799,8,8,1,
43,1,0.3197510242462158,1,1,1,
44,1,0.31415629386901855,4,4,1,
45,1,0.31849145889282227,3,3,1,
46,1,0.31630802154541016,9,9,1,
47,1,0.3159911632537842,5,5,1,
48,1,0.31131625175476074,5,5,1,
49,1,0.3177003860473633,5,5,1,
50,1,0.311352014541626,9,9,1,
51,1,0.3199126720428467,3,3,1,
52,1,0.3125300407409668,8,8,1,
53,1,0.312389612197876,6,6,1,
54,1,0.3101835250854492,6,6,1,
55,1,0.31180763244628906,8,8,1,
56,1,0.31382012367248535,7,7,1,
57,1,0.31869006156921387,6,6,1,
58,1,0.32373714447021484,9,9,1,
59,1,0.3094947338104248,4,4,1,
60,1,0.31258416175842285,3,3,1,
61,1,0.31871867179870605,7,7,1,
62,1,0.3115692138671875,6,6,1,
63,1,0.31548619270324707,8,8,1,
64,1,0.3118631839752197,9,9,1,
65,1,0.32146596908569336,4,4,1,
66,1,0.3130471706390381,6,6,1,
67,1,0.3157956600189209,8,8,1,
68,1,0.31078529357910156,9,9,1,
69,1,0.31737184524536133,2,2,1,
70,1,0.3098165988922119,1,1,1,
71,1,0.3172926902770996,3,3,1,
72,1,0.3112187385559082,2,2,1,
73,1,0.3103961944580078,8,8,1,
74,1,0.3136615753173828,4,4,1,
75,1,0.31682825088500977,1,1,1,
76,1,0.31741857528686523,6,6,1,
77,1,0.3110849857330322,8,6,0,
78,1,0.30893898010253906,9,9,1,
79,1,0.3185310363769531,7,5,0,
80,1,0.31075096130371094,7,7,1,
81,1,0.3178133964538574,5,5,1,
82,1,0.31316328048706055,0,0,1,
83,1,0.3149595260620117,3,3,1,
84,1,0.3113129138946533,8,8,1,
85,1,0.3167853355407715,7,7,1,
86,1,0.3167119026184082,6,6,1,
87,1,0.31705188751220703,7,7,1,
88,1,0.3114919662475586,3,3,1,
89,1,0.31668925285339355,1,1,1,
90,1,0.3152740001678467,2,2,1,
91,1,0.3127312660217285,6,6,1,
