sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id
0,1,0.3030428886413574,0,9,0,
1,1,0.31032776832580566,2,2,1,
2,1,0.3068428039550781,3,3,1,
3,1,0.3531928062438965,8,8,1,
4,1,0.3052408695220947,9,9,1,
5,1,0.30224037170410156,2,2,1,
6,1,0.3057892322540283,0,0,1,
7,1,0.3119628429412842,6,6,1,
8,1,0.3054385185241699,2,2,1,
9,1,0.31282949447631836,6,6,1,
10,1,0.3056950569152832,6,6,1,
11,1,0.3056032657623291,9,9,1,
12,1,0.3026602268218994,2,2,1,
13,1,0.30237436294555664,9,9,1,
14,1,0.30826520919799805,8,8,1,
15,1,0.31029176712036133,5,5,1,
16,1,0.30036449432373047,5,3,0,
17,1,0.30828022956848145,3,3,1,
18,1,0.3056938648223877,1,1,1,
19,1,0.30237770080566406,6,6,1,
20,1,0.30338072776794434,7,7,1,
21,1,0.3061032295227051,2,2,1,
22,1,0.30745530128479004,2,2,1,
23,1,0.30208706855773926,3,3,1,
24,1,0.3024287223815918,4,4,1,
25,1,0.3040153980255127,4,6,0,
26,1,0.3045167922973633,5,5,1,
27,1,0.30196356773376465,5,5,1,
28,1,0.3092517852783203,5,5,1,
29,1,0.31083011627197266,6,6,1,
30,1,0.31078457832336426,6,6,1,
31,1,0.3066387176513672,5,5,1,
32,1,0.3067474365234375,4,4,1,
33,1,0.30823850631713867,5,5,1,
34,1,0.3114156723022461,8,8,1,
35,1,0.31203627586364746,5,5,1,
36,1,0.31157994270324707,2,2,1,
37,1,0.3141148090362549,2,4,0,
38,1,0.3111114501953125,2,2,1,
39,1,0.3163423538208008,0,0,1,
40,1,0.3061041831970215,6,6,1,
41,1,0.31510019302368164,8,8,1,
42,1,0.30806827545166016,9,9,1,
43,1,0.30524611473083496,7,7,1,
44,1,0.3109421730041504,1,1,1,
45,1,0.30665159225463867,4,4,1,
46,1,0.3111763000488281,0,9,0,
47,1,0.3135526180267334,5,3,0,
48,1,0.30751848220825195,5,5,1,
49,1,0.315105676651001,0,0,1,
50,1,0.3062288761138916,3,3,1,
51,1,0.30559229850769043,1,1,1,
52,1,0.31223011016845703,8,8,1,
53,1,0.31434059143066406,5,3,0,
54,1,0.31041979789733887,8,8,1,
55,1,0.312044620513916,4,4,1,
56,1,0.31019091606140137,8,8,1,
57,1,0.31499743461608887,9,9,1,
58,1,0.311612606048584,2,2,1,
