sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id
0,1,0.5834193229675293,1,1,1,
1,1,0.6567051410675049,4,4,1,
2,1,0.6316494941711426,2,2,1,
3,1,0.6366703510284424,1,1,1,
4,1,0.6633007526397705,2,2,1,
5,1,0.6714301109313965,1,1,1,
6,1,0.6764991283416748,4,4,1,
7,1,0.6816239356994629,5,6,0,
8,1,0.6806511878967285,5,5,1,
9,1,0.7833795547485352,6,6,1,
10,1,0.7399182319641113,5,5,1,
11,1,0.6969263553619385,1,1,1,
12,1,0.7792360782623291,0,0,1,
13,1,0.7875492572784424,5,5,1,
14,1,0.8037292957305908,0,0,1,
15,1,0.7014694213867188,9,9,1,
16,1,0.7579827308654785,9,9,1,
17,1,0.7877814769744873,8,8,1,
18,1,0.7344725131988525,8,8,1,
19,1,0.8262948989868164,7,7,1,
20,1,0.7780091762542725,4,4,1,
21,1,0.7776439189910889,5,5,1,
22,1,0.7797691822052002,0,0,1,
23,1,0.8219904899597168,3,3,1,
24,1,0.7790367603302002,7,7,1,
25,1,0.7312326431274414,4,4,1,
26,1,0.8226644992828369,9,9,1,
27,1,0.7375810146331787,9,9,1,
28,1,0.7809145450592041,1,1,1,
29,1,0.7845613956451416,3,4,0,
30,1,0.840146541595459,2,2,1,
31,1,0.7920863628387451,5,4,0,
32,1,0.7346236705780029,7,7,1,
33,1,0.7870128154754639,6,6,1,
34,1,0.7688155174255371,0,0,1,
35,1,0.8502039909362793,9,9,1,
36,1,0.7940270900726318,6,6,1,
37,1,0.8472919464111328,6,6,1,
38,1,0.7955191135406494,3,3,1,
39,1,0.7336106300354004,0,2,0,
40,1,0.8259575366973877,0,0,1,
41,1,0.8265504837036133,5,5,1,
42,1,0.8253340721130371,0,2,0,
43,1,0.7878906726837158,4,4,1,
44,1,0.8107044696807861,6,6,1,
45,1,0.8325495719909668,6,6,1,
46,1,0.7450239658355713,9,9,1,
47,1,0.8453309535980225,5,3,0,
48,1,0.829338550567627,1,1,1,
49,1,0.8633098602294922,6,6,1,
50,1,0.7459664344787598,0,0,1,
51,1,0.8323116302490234,8,8,1,
52,1,0.8369872570037842,0,0,1,
53,1,0.8253133296966553,5,5,1,
54,1,0.848120927810669,5,5,1,
55,1,0.7379851341247559,5,5,1,
56,1,0.813692569732666,1,1,1,
57,1,0.8113753795623779,9,9,1,
