sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id
0,1,0.6482203006744385,9,9,1,
1,1,0.6836259365081787,2,2,1,
2,1,0.7518589496612549,8,8,1,
3,1,0.7889285087585449,6,6,1,
4,1,0.845639705657959,1,1,1,
5,1,0.796445369720459,7,7,1,
6,1,0.7957367897033691,9,1,0,
7,1,0.8719096183776855,5,5,1,
8,1,0.9654486179351807,9,9,1,
9,1,0.895552396774292,0,0,1,
10,1,0.9335246086120605,5,5,1,
11,1,0.9837725162506104,5,3,0,
12,1,0.8504514694213867,1,1,1,
13,1,0.8949732780456543,4,4,1,
14,1,0.9366207122802734,7,7,1,
15,1,0.9497113227844238,6,6,1,
16,1,0.8791120052337646,2,2,1,
17,1,0.8948280811309814,8,0,0,
18,1,0.8985104560852051,5,5,1,
19,1,0.9389691352844238,5,4,0,
20,1,0.9848692417144775,7,7,1,
21,1,0.9494597911834717,9,1,0,
22,1,0.948113203048706,5,5,1,
23,1,0.8795413970947266,6,6,1,
24,1,0.9001719951629639,2,8,0,
25,1,0.9905602931976318,8,8,1,
26,1,0.8926811218261719,2,3,0,
27,1,0.9487922191619873,7,7,1,
28,1,0.9226388931274414,6,6,1,
29,1,1.0440003871917725,8,8,1,
30,1,0.8036267757415771,7,7,1,
31,1,0.9927935600280762,2,4,0,
32,1,0.9016251564025879,0,0,1,
33,1,0.9474697113037109,4,3,0,
34,1,0.9403183460235596,2,2,1,
35,1,0.873288631439209,0,0,1,
36,1,0.8618841171264648,9,9,1,
37,1,1.0333857536315918,5,2,0,
38,1,0.9512226581573486,3,3,1,
39,1,0.9169199466705322,2,2,1,
40,1,0.9975419044494629,1,1,1,
41,1,0.9699935913085938,8,6,0,
42,1,0.9533236026763916,5,2,0,
43,1,0.9689054489135742,5,5,1,
44,1,0.8670780658721924,7,9,0,
45,1,0.9188845157623291,7,7,1,
46,1,1.0523111820220947,5,5,1,
47,1,0.8672358989715576,5,5,1,
48,1,0.9210469722747803,0,0,1,
49,1,0.9441828727722168,1,6,0,
50,1,0.943885087966919,2,2,1,
51,1,0.98642897605896,3,6,0,
52,1,0.9549219608306885,7,7,1,
53,1,1.0330603122711182,1,1,1,
54,1,0.9017319679260254,7,7,1,
55,1,0.9961843490600586,9,9,1,
56,1,0.8924906253814697,3,3,1,
57,1,1.01133131980896,5,3,0,
