sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id
0,1,0.26100921630859375,9,9,1,1
1,1,0.2596266269683838,0,0,1,1
2,1,0.4111974239349365,4,2,0,3
3,1,0.26933717727661133,4,4,1,1
4,1,0.17299938201904297,4,7,0,0
5,1,0.1757361888885498,8,8,1,0
6,1,0.20727086067199707,8,8,1,0
7,1,0.33081626892089844,4,3,0,2
8,1,0.17470765113830566,9,9,1,0
9,1,0.17096948623657227,8,8,1,0
10,1,0.2616896629333496,3,4,0,1
11,1,0.32931017875671387,2,2,1,2
12,1,0.17181825637817383,6,6,1,0
13,1,0.17095041275024414,3,3,1,0
14,1,0.26111555099487305,0,0,1,1
15,1,0.2578125,4,4,1,1
16,1,0.17480754852294922,8,8,1,0
17,1,0.2592477798461914,2,2,1,1
18,1,0.1730351448059082,9,9,1,0
19,1,0.17036104202270508,4,4,1,0
20,1,0.17121291160583496,9,9,1,0
21,1,0.1704099178314209,9,1,0,0
22,1,0.2614569664001465,9,9,1,1
23,1,0.26549625396728516,4,4,1,1
24,1,0.1717844009399414,7,7,1,0
25,1,0.2621345520019531,6,6,1,1
26,1,0.2599949836730957,6,6,1,1
27,1,0.17197465896606445,4,4,1,0
28,1,0.26062607765197754,7,7,1,1
29,1,0.17239809036254883,3,3,1,0
30,1,0.17099618911743164,1,1,1,0
31,1,0.16961407661437988,3,3,1,0
32,1,0.1720409393310547,1,1,1,0
33,1,0.2584652900695801,6,6,1,1
34,1,0.3359863758087158,7,7,1,2
35,1,0.170792818069458,5,3,0,0
36,1,0.17343568801879883,3,6,0,0
37,1,0.1703193187713623,8,8,1,0
38,1,0.17099785804748535,7,7,1,0
39,1,0.17084860801696777,9,9,1,0
40,1,0.1713855266571045,1,1,1,0
41,1,0.17058563232421875,6,6,1,0
42,1,0.17252087593078613,3,5,0,0
43,1,0.17101407051086426,1,1,1,0
44,1,0.17109370231628418,6,6,1,0
45,1,0.17348241806030273,4,4,1,0
46,1,0.17234039306640625,5,5,1,0
47,1,0.25890469551086426,2,2,1,1
48,1,0.17133140563964844,5,5,1,0
49,1,0.17028307914733887,1,1,1,0
50,1,0.2593820095062256,4,4,1,1
51,1,0.1707460880279541,6,6,1,0
52,1,0.17417263984680176,8,8,1,0
53,1,0.17034244537353516,2,2,1,0
54,1,0.1708390712738037,4,4,1,0
55,1,0.25957345962524414,8,8,1,1
56,1,0.17138934135437012,7,7,1,0
57,1,0.17012834548950195,9,9,1,0
58,1,0.17265629768371582,9,9,1,0
59,1,0.2581031322479248,0,0,1,1
60,1,0.26238274574279785,3,3,1,1
61,1,0.17061829566955566,0,0,1,0
62,1,0.17430567741394043,0,0,1,0
63,1,0.1738758087158203,2,2,1,0
64,1,0.17276692390441895,0,0,1,0
65,1,0.17082810401916504,5,5,1,0
66,1,0.1741805076599121,5,5,1,0
67,1,0.17113780975341797,5,5,1,0
68,1,0.17130231857299805,1,1,1,0
69,1,0.2583909034729004,8,8,1,1
70,1,0.2621457576751709,7,7,1,1
71,1,0.1696791648864746,7,7,1,0
72,1,0.26038336753845215,2,2,1,1
73,1,0.2579379081726074,6,6,1,1
74,1,0.1745741367340088,8,8,1,0
75,1,0.32953333854675293,2,2,1,2
76,1,0.17581510543823242,5,5,1,0
77,1,0.17029261589050293,1,1,1,0
78,1,0.2610204219818115,1,9,0,1
79,1,0.17148637771606445,9,9,1,0
80,1,0.169968843460083,8,8,1,0
81,1,0.40696215629577637,8,0,0,3
82,1,0.16984224319458008,9,9,1,0
83,1,0.1723794937133789,7,7,1,0
84,1,0.33521032333374023,8,0,0,2
85,1,0.26021528244018555,6,6,1,1
86,1,0.2616853713989258,8,8,1,1
87,1,0.17050504684448242,3,3,1,0
88,1,0.1716310977935791,7,7,1,0
89,1,0.17112016677856445,5,3,0,0
90,1,0.2581503391265869,3,3,1,1
91,1,0.25965404510498047,0,0,1,1
92,1,0.17200708389282227,2,2,1,0
93,1,0.2674567699432373,2,2,1,1
94,1,0.17391490936279297,4,4,1,0
95,1,0.17001843452453613,5,5,1,0
96,1,0.17433500289916992,1,1,1,0
97,1,0.16936445236206055,5,5,1,0
98,1,0.16684532165527344,5,5,1,0
99,1,0.1732470989227295,7,7,1,0
100,1,0.1682279109954834,4,4,1,0
101,1,0.25809741020202637,8,8,1,1
102,1,0.2567756175994873,2,2,1,1
103,1,0.25768589973449707,6,6,1,1
104,1,0.2533135414123535,3,3,1,1
105,1,0.25887608528137207,3,4,0,1
106,1,0.1686534881591797,1,1,1,0
107,1,0.16810393333435059,2,2,1,0
108,1,0.2560231685638428,4,4,1,1
109,1,0.16675090789794922,5,5,1,0
110,1,0.16941380500793457,7,5,0,0
111,1,0.1677694320678711,2,2,1,0
112,1,0.16736173629760742,8,8,1,0
113,1,0.1680161952972412,3,3,1,0
114,1,0.1671762466430664,0,0,1,0
115,1,0.2550630569458008,3,3,1,1
116,1,0.25720977783203125,3,5,0,1
117,1,0.16778254508972168,3,3,1,0
118,1,0.17065048217773438,0,0,1,0
119,1,0.25305747985839844,6,6,1,1
120,1,0.16872215270996094,4,4,1,0
121,1,0.25621461868286133,1,1,1,1
122,1,0.2566874027252197,3,5,0,1
123,1,0.16705060005187988,7,7,1,0
124,1,0.1672964096069336,8,8,1,0
125,1,0.17106413841247559,0,0,1,0
126,1,0.25351476669311523,3,3,1,1
127,1,0.1701200008392334,2,2,1,0
128,1,0.16622447967529297,1,1,1,0
129,1,0.16798615455627441,7,7,1,0
130,1,0.17046761512756348,9,9,1,0
131,1,0.1678612232208252,9,9,1,0
132,1,0.16712403297424316,0,0,1,0
133,1,0.169297456741333,9,9,1,0
134,1,0.16526269912719727,7,7,1,0
135,1,0.16903185844421387,0,0,1,0
136,1,0.4063601493835449,0,2,0,3
137,1,0.26140904426574707,2,2,1,1
138,1,0.17148923873901367,1,1,1,0
139,1,0.17048001289367676,8,8,1,0
140,1,0.17325806617736816,1,9,0,0
141,1,0.4068880081176758,5,3,0,3
142,1,0.2578616142272949,3,3,1,1
143,1,0.1708662509918213,5,5,1,0
144,1,0.2598991394042969,3,3,1,1
145,1,0.1705152988433838,0,0,1,0
146,1,0.3322758674621582,0,0,1,2
