sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id
0,1,0.2027897834777832,2,2,1,0
1,1,0.17273712158203125,3,3,1,0
2,1,0.262113094329834,3,2,0,1
3,1,0.26363086700439453,9,9,1,1
4,1,0.17819452285766602,9,9,1,0
5,1,0.17291617393493652,7,7,1,0
6,1,0.17381644248962402,8,8,1,0
7,1,0.17384719848632812,9,9,1,0
8,1,0.17094898223876953,4,2,0,0
9,1,0.3351585865020752,8,8,1,2
10,1,0.17772722244262695,1,1,1,0
11,1,0.17453289031982422,1,9,0,0
12,1,0.17517971992492676,9,9,1,0
13,1,0.1745014190673828,0,8,0,0
14,1,0.17334699630737305,4,4,1,0
15,1,0.1718912124633789,3,3,1,0
16,1,0.17381501197814941,5,5,1,0
17,1,0.2653684616088867,6,6,1,1
18,1,0.17592477798461914,0,0,1,0
19,1,0.265061616897583,4,4,1,1
20,1,0.1763625144958496,6,6,1,0
21,1,0.17375922203063965,0,0,1,0
22,1,0.18085646629333496,4,4,1,0
23,1,0.26274800300598145,8,8,1,1
24,1,0.17730998992919922,4,4,1,0
25,1,0.1732933521270752,1,1,1,0
26,1,0.18381047248840332,3,3,1,0
27,1,0.1738443374633789,0,0,1,0
28,1,0.1762080192565918,1,1,1,0
29,1,0.2720947265625,6,6,1,1
30,1,0.18057799339294434,9,9,1,0
31,1,0.1789722442626953,3,3,1,0
32,1,0.27333974838256836,1,1,1,1
33,1,0.17719459533691406,0,0,1,0
34,1,0.17758464813232422,2,6,0,0
35,1,0.3525230884552002,5,5,1,2
36,1,0.26659655570983887,9,9,1,1
37,1,0.17645788192749023,6,6,1,0
38,1,0.17334198951721191,0,0,1,0
39,1,0.17421936988830566,3,3,1,0
40,1,0.18559837341308594,6,6,1,0
41,1,0.17834115028381348,0,7,0,0
42,1,0.17354059219360352,7,7,1,0
43,1,0.17642545700073242,4,8,0,0
44,1,0.17398881912231445,6,6,1,0
45,1,0.2666146755218506,0,0,1,1
46,1,0.17802166938781738,9,9,1,0
47,1,0.18436026573181152,0,3,0,0
48,1,0.17569923400878906,9,9,1,0
49,1,0.1753218173980713,0,0,1,0
50,1,0.26335883140563965,2,2,1,1
51,1,0.173689603805542,1,1,1,0
52,1,0.17316436767578125,1,1,1,0
