sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id
0,1,0.34665560722351074,7,7,1,2
1,1,0.18390774726867676,7,7,1,0
2,1,0.3182194232940674,9,1,0,1
3,1,0.18767905235290527,8,8,1,0
4,1,0.1821880340576172,9,9,1,0
5,1,0.27614831924438477,7,7,1,1
6,1,0.2771475315093994,3,7,0,1
7,1,0.3535799980163574,5,5,1,2
8,1,0.2752959728240967,8,8,1,1
9,1,0.18746614456176758,9,1,0,0
10,1,0.27471446990966797,6,6,1,1
11,1,0.28105807304382324,1,1,1,1
12,1,0.277346134185791,6,6,1,1
13,1,0.43069934844970703,2,5,0,3
14,1,0.27595090866088867,6,6,1,1
15,1,0.18502521514892578,6,2,0,0
16,1,0.1829090118408203,4,4,1,0
17,1,0.27223730087280273,5,5,1,1
18,1,0.2808084487915039,7,7,1,1
19,1,0.18601465225219727,5,3,0,0
20,1,0.1836996078491211,8,8,1,0
21,1,0.26922154426574707,2,2,1,1
22,1,0.18855571746826172,7,4,0,0
23,1,0.18388843536376953,6,6,1,0
24,1,0.3495795726776123,2,2,1,2
25,1,0.2790558338165283,1,1,1,1
26,1,0.35421276092529297,0,0,1,2
27,1,0.4360690116882324,2,2,1,3
28,1,0.43669843673706055,4,2,0,3
29,1,0.18233060836791992,8,8,1,0
30,1,0.4285867214202881,7,7,1,3
31,1,0.18720197677612305,6,4,0,0
32,1,0.27904772758483887,3,3,1,1
33,1,0.18511605262756348,7,7,1,0
34,1,0.18261504173278809,6,6,1,0
35,1,0.1818714141845703,3,3,1,0
36,1,0.1870288848876953,3,3,1,0
37,1,0.18591523170471191,5,5,1,0
38,1,0.2740776538848877,7,0,0,1
39,1,0.2799549102783203,6,6,1,1
40,1,0.281095027923584,4,4,1,1
41,1,0.18769598007202148,4,4,1,0
42,1,0.18397212028503418,6,6,1,0
43,1,0.2801249027252197,2,3,0,1
44,1,0.18831133842468262,2,2,1,0
45,1,0.1882638931274414,0,0,1,0
46,1,0.27724432945251465,6,6,1,1
47,1,0.2855868339538574,3,5,0,1
48,1,0.19971895217895508,0,0,1,0
49,1,0.18407535552978516,1,1,1,0
50,1,0.1852407455444336,1,1,1,0
51,1,0.34826159477233887,2,2,1,2
52,1,0.19284820556640625,6,6,1,0
53,1,0.2881195545196533,4,4,1,1
54,1,0.18344807624816895,9,9,1,0
55,1,0.3644285202026367,6,6,1,2
56,1,0.19700193405151367,7,7,1,0
57,1,0.27980995178222656,0,0,1,1
58,1,0.2797582149505615,3,6,0,1
59,1,0.29775238037109375,3,7,0,1
60,1,0.2840871810913086,6,6,1,1
61,1,0.36974024772644043,2,2,1,2
62,1,0.28803062438964844,0,0,1,1
63,1,0.3023865222930908,6,4,0,1
64,1,0.36864328384399414,8,6,0,2
65,1,0.19824481010437012,4,4,1,0
66,1,0.293773889541626,4,4,1,1
67,1,0.2954540252685547,6,1,0,1
68,1,0.29225969314575195,8,8,1,1
69,1,0.19440650939941406,7,7,1,0
70,1,0.29721856117248535,4,4,1,1
71,1,0.20142412185668945,8,8,1,0
72,1,0.18895888328552246,0,0,1,0
73,1,0.19530296325683594,2,7,0,0
