sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id
0,1,0.22188115119934082,4,4,1,0
1,1,0.21530508995056152,3,3,1,0
2,1,0.3676271438598633,5,3,0,1
3,1,0.3757750988006592,4,4,1,1
4,1,0.38396453857421875,2,2,1,1
5,1,0.22866106033325195,8,8,1,0
6,1,0.3850390911102295,0,0,1,1
7,1,0.2337474822998047,2,2,1,0
8,1,0.2281055450439453,2,2,1,0
9,1,0.39987921714782715,2,2,1,1
10,1,0.7602248191833496,2,6,0,3
11,1,0.4114506244659424,6,6,1,1
12,1,0.6539711952209473,2,2,1,2
13,1,0.25598597526550293,0,0,1,0
14,1,0.24383234977722168,5,5,1,0
15,1,0.25470876693725586,4,4,1,0
16,1,0.2403092384338379,0,0,1,0
17,1,0.24813604354858398,8,8,1,0
18,1,0.24352145195007324,1,1,1,0
19,1,0.2533702850341797,0,0,1,0
20,1,0.4048612117767334,6,6,1,1
21,1,0.2478632926940918,9,9,1,0
22,1,0.2529621124267578,5,5,1,0
23,1,0.42302775382995605,9,1,0,1
24,1,0.43102478981018066,2,2,1,1
25,1,0.255110502243042,9,9,1,0
26,1,0.25972938537597656,4,5,0,0
27,1,0.4364962577819824,4,4,1,1
28,1,0.2483522891998291,4,6,0,0
29,1,0.25435495376586914,8,8,1,0
30,1,0.3031175136566162,6,6,1,0
31,1,0.4258236885070801,7,7,1,1
32,1,0.2556591033935547,1,1,1,0
33,1,0.4303615093231201,2,2,1,1
34,1,0.4372997283935547,5,5,1,1
35,1,0.26282501220703125,6,6,1,0
36,1,0.25656795501708984,1,1,1,0
37,1,0.25805091857910156,0,0,1,0
38,1,0.2579805850982666,1,1,1,0
39,1,0.2587566375732422,3,3,1,0
40,1,0.30252981185913086,2,2,1,0
41,1,0.2600514888763428,6,6,1,0
42,1,0.4359767436981201,3,3,1,1
43,1,0.4346437454223633,2,2,1,1
44,1,0.25504541397094727,0,0,1,0
45,1,0.26245760917663574,4,2,0,0
46,1,0.43314552307128906,6,6,1,1
47,1,0.4581279754638672,3,3,1,1
48,1,0.2692246437072754,6,6,1,0
49,1,0.2560701370239258,5,5,1,0
50,1,0.2584724426269531,6,6,1,0
51,1,0.2618894577026367,4,2,0,0
52,1,0.25461602210998535,1,1,1,0
53,1,0.2514350414276123,8,8,1,0
54,1,0.2606058120727539,4,4,1,0
55,1,0.25928735733032227,2,2,1,0
56,1,0.2589712142944336,1,1,1,0
57,1,0.26239967346191406,8,8,1,0
58,1,0.25673770904541016,0,0,1,0
59,1,0.42893528938293457,2,2,1,1
60,1,0.25838780403137207,0,0,1,0
61,1,0.7646768093109131,0,0,1,2
62,1,0.2588536739349365,4,4,1,0
63,1,0.48482799530029297,4,4,1,1
64,1,0.2588834762573242,6,6,1,0
65,1,0.25960636138916016,3,3,1,0
66,1,0.8507583141326904,3,7,0,3
67,1,0.2935912609100342,9,9,1,0
68,1,0.4362626075744629,5,5,1,1
69,1,0.2668468952178955,6,6,1,0
70,1,0.30184102058410645,9,9,1,0
71,1,0.897883415222168,3,7,0,3
72,1,0.2587621212005615,1,1,1,0
73,1,0.2595973014831543,6,6,1,0
74,1,0.258070707321167,4,4,1,0
75,1,0.49024319648742676,0,0,1,1
76,1,0.261354923248291,7,7,1,0
77,1,0.25399255752563477,8,8,1,0
78,1,0.5280153751373291,7,7,1,1
79,1,0.258098840713501,3,3,1,0
80,1,0.2609589099884033,3,5,0,0
81,1,0.6935913562774658,2,2,1,2
82,1,0.26398730278015137,8,8,1,0
83,1,0.29210400581359863,4,4,1,0
84,1,0.26907849311828613,4,4,1,0
85,1,0.2570970058441162,1,1,1,0
86,1,0.26021385192871094,6,6,1,0
87,1,0.25690340995788574,6,6,1,0
88,1,0.25942134857177734,4,5,0,0
89,1,0.26189517974853516,9,9,1,0
90,1,0.25510549545288086,5,5,1,0
91,1,0.30549025535583496,1,1,1,0
92,1,0.25817203521728516,0,0,1,0
93,1,0.2586326599121094,8,8,1,0
94,1,0.4387505054473877,9,9,1,1
95,1,0.4923534393310547,4,6,0,1
96,1,0.2836616039276123,4,4,1,0
97,1,0.26877927780151367,8,8,1,0
98,1,0.30507445335388184,3,3,1,0
99,1,0.2518439292907715,0,0,1,0
100,1,0.4775044918060303,5,5,1,1
101,1,0.25772786140441895,8,8,1,0
102,1,0.26467466354370117,3,3,1,0
103,1,0.2580111026763916,0,0,1,0
104,1,0.30116844177246094,7,7,1,0
105,1,0.26143908500671387,2,2,1,0
106,1,0.435931921005249,3,3,1,1
107,1,0.2621140480041504,1,1,1,0
108,1,0.25679612159729004,8,8,1,0
109,1,0.26007819175720215,9,9,1,0
110,1,0.2597346305847168,8,8,1,0
111,1,0.4928324222564697,8,8,1,1
112,1,0.4357295036315918,7,7,1,1
113,1,0.4860062599182129,7,7,1,1
114,1,0.2582828998565674,3,3,1,0
115,1,0.2610130310058594,2,2,1,0
116,1,0.3087794780731201,8,8,1,0
117,1,0.2580256462097168,2,2,1,0
118,1,0.2621424198150635,1,1,1,0
119,1,0.2921581268310547,4,4,1,0
120,1,0.4386277198791504,2,2,1,1
121,1,0.44393038749694824,0,0,1,1
122,1,0.2833709716796875,6,6,1,0
123,1,0.5092802047729492,4,4,1,1
124,1,0.764826774597168,6,6,1,2
125,1,0.3067457675933838,2,2,1,0
126,1,0.26021695137023926,3,3,1,0
127,1,0.2574276924133301,2,2,1,0
128,1,0.24764132499694824,3,3,1,0
129,1,0.3025929927825928,9,9,1,0
130,1,0.2941443920135498,8,8,1,0
131,1,0.2583773136138916,3,3,1,0
132,1,0.30670857429504395,9,9,1,0
133,1,0.2585742473602295,7,7,1,0
134,1,0.2594919204711914,6,6,1,0
135,1,0.48030829429626465,2,6,0,1
136,1,0.4455592632293701,4,4,1,1
137,1,0.30424046516418457,0,8,0,0
138,1,0.25685834884643555,3,3,1,0
139,1,0.2626922130584717,2,2,1,0
140,1,0.25844740867614746,2,2,1,0
141,1,0.26065611839294434,9,9,1,0
142,1,0.25229740142822266,3,6,0,0
143,1,0.48305654525756836,4,7,0,1
144,1,0.3026437759399414,7,7,1,0
145,1,0.2598099708557129,0,0,1,0
146,1,0.3031635284423828,6,6,1,0
147,1,0.44011926651000977,1,1,1,1
148,1,0.46775364875793457,3,3,1,1
149,1,0.29214954376220703,3,5,0,0
150,1,0.3085784912109375,8,8,1,0
151,1,0.2581052780151367,5,2,0,0
152,1,0.25888991355895996,3,3,1,0
153,1,0.7849197387695312,2,2,1,2
154,1,0.2682929039001465,0,0,1,0
155,1,0.30242204666137695,7,7,1,0
156,1,0.43737268447875977,2,4,0,1
157,1,0.3387148380279541,8,8,1,0
158,1,0.2564983367919922,4,4,1,0
159,1,0.2555665969848633,7,7,1,0
160,1,0.3051187992095947,7,7,1,0
161,1,0.2681102752685547,9,9,1,0
162,1,0.2874910831451416,1,1,1,0
163,1,0.30732131004333496,8,8,1,0
164,1,0.4802055358886719,5,3,0,1
165,1,0.2987051010131836,6,6,1,0
166,1,0.3043069839477539,1,1,1,0
167,1,0.8719511032104492,3,3,1,3
168,1,0.2664361000061035,9,9,1,0
169,1,0.44212913513183594,7,7,1,1
170,1,0.44123363494873047,8,8,1,1
171,1,0.26520371437072754,3,5,0,0
172,1,0.29929208755493164,6,6,1,0
173,1,0.2594027519226074,8,8,1,0
