sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id
0,1,0.23662161827087402,1,1,1,0
1,1,0.4099752902984619,2,6,0,1
2,1,0.2654566764831543,5,5,1,0
3,1,0.9183993339538574,0,8,0,3
4,1,0.32895827293395996,9,9,1,0
5,1,0.4456665515899658,7,7,1,1
6,1,0.27930641174316406,9,9,1,0
7,1,0.5556628704071045,3,3,1,1
8,1,0.3490414619445801,4,4,1,0
9,1,0.9809219837188721,2,3,0,3
10,1,0.5660116672515869,2,2,1,1
11,1,0.3485140800476074,8,8,1,0
12,1,0.48621535301208496,6,6,1,1
13,1,0.34156155586242676,1,1,1,0
14,1,0.30618906021118164,4,3,0,0
15,1,0.3094673156738281,9,9,1,0
16,1,0.30465245246887207,6,6,1,0
17,1,0.5356383323669434,2,2,1,1
18,1,0.2999286651611328,0,0,1,0
19,1,0.29601407051086426,1,1,1,0
20,1,0.37911152839660645,1,1,1,0
21,1,0.31137609481811523,5,5,1,0
22,1,0.8638238906860352,2,2,1,2
23,1,0.5982580184936523,6,6,1,1
24,1,0.6080129146575928,3,3,1,1
25,1,0.3585982322692871,4,6,0,0
26,1,0.31640148162841797,7,7,1,0
27,1,0.9389383792877197,0,8,0,2
28,1,0.26673460006713867,3,7,0,0
29,1,0.6887941360473633,7,7,1,1
30,1,0.36110806465148926,3,3,1,0
31,1,1.0962016582489014,3,1,0,3
32,1,0.5821957588195801,2,2,1,1
33,1,0.342893123626709,2,2,1,0
34,1,0.3079712390899658,4,7,0,0
35,1,0.3490617275238037,3,0,0,0
36,1,0.873481035232544,0,0,1,2
37,1,0.34995174407958984,7,7,1,0
38,1,0.30873727798461914,8,8,1,0
39,1,0.3283348083496094,8,8,1,0
40,1,0.6349260807037354,9,9,1,1
41,1,0.37286853790283203,2,2,1,0
42,1,0.31580090522766113,8,8,1,0
43,1,0.36481308937072754,9,9,1,0
44,1,0.3318312168121338,3,6,0,0
45,1,0.35171031951904297,8,8,1,0
46,1,0.3065924644470215,8,8,1,0
47,1,0.34170055389404297,5,5,1,0
48,1,0.30820178985595703,7,7,1,0
49,1,0.3682281970977783,3,3,1,0
50,1,0.3175835609436035,4,4,1,0
51,1,0.352527379989624,8,8,1,0
52,1,0.535353422164917,9,1,0,1
53,1,0.3532421588897705,3,3,1,0
54,1,0.3193237781524658,7,7,1,0
55,1,0.32872986793518066,9,1,0,0
56,1,0.5789542198181152,0,0,1,1
57,1,0.34931397438049316,1,1,1,0
58,1,0.3452425003051758,2,2,1,0
59,1,0.39876532554626465,0,0,1,0
60,1,0.35436201095581055,8,8,1,0
61,1,0.37071704864501953,9,9,1,0
62,1,0.45373106002807617,3,0,0,0
63,1,0.5578813552856445,0,0,1,1
64,1,0.32358455657958984,9,8,0,0
65,1,0.301971435546875,9,3,0,0
66,1,1.1613800525665283,6,2,0,3
67,1,0.3128960132598877,5,5,1,0
68,1,0.3134734630584717,8,8,1,0
69,1,0.6289429664611816,4,4,1,1
70,1,1.2128565311431885,3,7,0,3
71,1,0.34488749504089355,6,6,1,0
72,1,0.5630631446838379,4,4,1,1
73,1,0.8917155265808105,3,3,1,2
74,1,0.37317323684692383,3,3,1,0
75,1,0.5833566188812256,4,2,0,1
76,1,0.3822624683380127,9,9,1,0
77,1,0.3907473087310791,4,4,1,0
78,1,0.35880088806152344,6,6,1,0
79,1,0.583564043045044,6,6,1,1
80,1,0.557544469833374,4,3,0,1
81,1,0.392275333404541,4,4,1,0
82,1,0.6141886711120605,5,5,1,1
83,1,0.2765798568725586,4,3,0,0
84,1,1.2544395923614502,4,7,0,3
85,1,0.37511587142944336,8,8,1,0
86,1,0.36542415618896484,1,1,1,0
87,1,0.3276646137237549,5,5,1,0
88,1,0.6049890518188477,5,5,1,1
89,1,1.1818525791168213,6,2,0,3
90,1,0.3071591854095459,6,6,1,0
91,1,0.31113600730895996,3,6,0,0
92,1,0.3286099433898926,4,4,1,0
93,1,0.37170910835266113,8,8,1,0
94,1,0.3309507369995117,9,9,1,0
95,1,0.3933584690093994,0,9,0,0
96,1,0.35265231132507324,3,2,0,0
97,1,0.538398265838623,0,0,1,1
98,1,0.3735346794128418,4,4,1,0
99,1,0.6355295181274414,0,8,0,1
100,1,0.38160157203674316,3,3,1,0
101,1,0.6084568500518799,6,6,1,1
102,1,0.8766357898712158,0,9,0,2
103,1,0.36873483657836914,3,3,1,0
104,1,1.184828519821167,3,3,1,3
105,1,0.3262898921966553,3,3,1,0
106,1,0.6940722465515137,4,4,1,1
107,1,0.3848304748535156,0,0,1,0
108,1,0.31139326095581055,5,5,1,0
109,1,0.36945581436157227,4,5,0,0
110,1,0.976818323135376,2,2,1,2
111,1,0.5788412094116211,8,8,1,1
112,1,0.3611423969268799,5,5,1,0
113,1,0.33231258392333984,2,2,1,0
114,1,0.3939676284790039,4,4,1,0
115,1,0.3072233200073242,6,2,0,0
116,1,0.3587930202484131,4,2,0,0
117,1,0.5605218410491943,4,4,1,1
118,1,0.43536806106567383,8,8,1,0
119,1,0.30985331535339355,4,2,0,0
120,1,0.3244912624359131,3,3,1,0
121,1,0.3752880096435547,4,4,1,0
122,1,0.6298274993896484,5,5,1,1
123,1,0.2694258689880371,6,6,1,0
124,1,0.3740651607513428,3,2,0,0
125,1,0.3114016056060791,8,8,1,0
126,1,0.3930630683898926,9,9,1,0
127,1,0.9636101722717285,3,3,1,2
128,1,0.34506988525390625,3,3,1,0
129,1,0.9625322818756104,5,3,0,2
130,1,0.3476576805114746,1,8,0,0
131,1,0.352947473526001,4,2,0,0
132,1,0.6305036544799805,4,2,0,1
133,1,0.8808121681213379,1,1,1,2
134,1,0.4586632251739502,4,4,1,0
135,1,0.31352758407592773,0,0,1,0
136,1,0.5712254047393799,4,4,1,1
137,1,0.34806013107299805,4,4,1,0
138,1,0.4026782512664795,9,1,0,0
139,1,0.6400794982910156,7,0,0,1
140,1,0.5513286590576172,7,7,1,1
141,1,0.6213293075561523,5,4,0,1
142,1,0.6667032241821289,5,5,1,1
143,1,1.0196175575256348,7,7,1,2
144,1,0.6248509883880615,6,6,1,1
145,1,0.3175625801086426,3,3,1,0
146,1,0.6061604022979736,5,5,1,1
147,1,0.3119800090789795,8,8,1,0
148,1,0.3104243278503418,4,4,1,0
149,1,0.3520188331604004,7,7,1,0
150,1,0.6227986812591553,7,7,1,1
151,1,0.37859654426574707,1,1,1,0
152,1,0.3792550563812256,1,1,1,0
153,1,0.5817685127258301,5,5,1,1
