sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,path,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,worker2_compute_time_sec,worker2_request_bytes,worker2_response_bytes
0,1,0.28151726722717285,8,8,1,0,0.9839261770248413,789091,0.18653154373168945,worker1,0.18653154373168945,787788,1303,0.0,0,0
1,1,0.4943876266479492,4,4,1,2,0.997980535030365,1840490,0.34020209312438965,worker1->worker2,0.2585747241973877,787788,525741,0.08162736892700195,525659,1302
2,1,0.3406803607940674,2,2,1,1,0.9493523240089417,789091,0.25903964042663574,worker1,0.25903964042663574,787788,1303,0.0,0,0
3,1,0.2552788257598877,1,1,1,0,0.9459185600280762,789091,0.17385005950927734,worker1,0.17385005950927734,787788,1303,0.0,0,0
4,1,0.3372385501861572,2,2,1,1,0.8947492837905884,789091,0.25617194175720215,worker1,0.25617194175720215,787788,1303,0.0,0,0
5,1,0.2539939880371094,7,7,1,0,0.9674074649810791,789091,0.17250871658325195,worker1,0.17250871658325195,787788,1303,0.0,0,0
6,1,0.25160670280456543,8,8,1,0,0.5931810736656189,789091,0.16999411582946777,worker1,0.16999411582946777,787788,1303,0.0,0,0
7,1,0.25262951850891113,9,9,1,0,0.9932833909988403,789091,0.17192816734313965,worker1,0.17192816734313965,787788,1303,0.0,0,0
8,1,0.25080060958862305,6,6,1,0,0.9260140061378479,789091,0.16915631294250488,worker1,0.16915631294250488,787788,1303,0.0,0,0
9,1,0.2566967010498047,4,4,1,0,0.7168769240379333,789091,0.17521882057189941,worker1,0.17521882057189941,787788,1303,0.0,0,0
10,1,0.25211548805236816,1,1,1,0,0.9519440531730652,789097,0.17043638229370117,worker1,0.17043638229370117,787791,1306,0.0,0,0
11,1,0.2524423599243164,6,6,1,0,0.8898210525512695,789097,0.17091941833496094,worker1,0.17091941833496094,787791,1306,0.0,0,0
12,1,0.4703195095062256,4,4,1,2,0.9780668020248413,1840503,0.327655553817749,worker1->worker2,0.2567098140716553,787791,525744,0.07094573974609375,525662,1306
13,1,0.3429453372955322,6,2,0,1,0.9810875058174133,789097,0.26145339012145996,worker1,0.26145339012145996,787791,1306,0.0,0,0
14,1,0.25507164001464844,5,5,1,0,0.633476734161377,789096,0.17454767227172852,worker1,0.17454767227172852,787791,1305,0.0,0,0
15,1,0.2526073455810547,4,4,1,0,0.8181099891662598,789097,0.1719658374786377,worker1,0.1719658374786377,787791,1306,0.0,0,0
16,1,0.34239673614501953,1,9,0,1,0.8994917869567871,789097,0.25817084312438965,worker1,0.25817084312438965,787791,1306,0.0,0,0
17,1,0.25304293632507324,8,8,1,0,0.9979275465011597,789097,0.17154693603515625,worker1,0.17154693603515625,787791,1306,0.0,0,0
18,1,0.25512170791625977,9,9,1,0,0.9999635219573975,789097,0.1736440658569336,worker1,0.1736440658569336,787791,1306,0.0,0,0
19,1,0.25350260734558105,1,1,1,0,0.8084973692893982,789097,0.17200684547424316,worker1,0.17200684547424316,787791,1306,0.0,0,0
20,1,0.25188517570495605,3,3,1,0,0.9115016460418701,789097,0.17068696022033691,worker1,0.17068696022033691,787791,1306,0.0,0,0
21,1,0.47933483123779297,2,2,1,2,0.6999866962432861,1840503,0.3387739658355713,worker1->worker2,0.2571089267730713,787791,525744,0.0816650390625,525662,1306
22,1,0.25428104400634766,5,5,1,0,0.8391194343566895,789097,0.172821044921875,worker1,0.172821044921875,787791,1306,0.0,0,0
23,1,0.25344038009643555,4,4,1,0,0.9832369685173035,789097,0.17217183113098145,worker1,0.17217183113098145,787791,1306,0.0,0,0
24,1,0.3390810489654541,0,0,1,1,0.9727554321289062,789097,0.2573730945587158,worker1,0.2573730945587158,787791,1306,0.0,0,0
25,1,0.2540280818939209,3,3,1,0,0.797781765460968,789096,0.17244887351989746,worker1,0.17244887351989746,787791,1305,0.0,0,0
26,1,0.3386194705963135,9,9,1,1,0.9652637243270874,789097,0.2566719055175781,worker1,0.2566719055175781,787791,1306,0.0,0,0
27,1,0.33786511421203613,6,6,1,1,0.998634397983551,789096,0.25624656677246094,worker1,0.25624656677246094,787791,1305,0.0,0,0
28,1,0.25455164909362793,9,9,1,0,0.9768933057785034,789097,0.1723008155822754,worker1,0.1723008155822754,787791,1306,0.0,0,0
29,1,0.3381507396697998,8,8,1,1,0.9958205223083496,789097,0.2562565803527832,worker1,0.2562565803527832,787791,1306,0.0,0,0
30,1,0.2515859603881836,1,1,1,0,0.9822888374328613,789097,0.17041492462158203,worker1,0.17041492462158203,787791,1306,0.0,0,0
31,1,0.250948429107666,3,3,1,0,0.9595230221748352,789097,0.16944622993469238,worker1,0.16944622993469238,787791,1306,0.0,0,0
32,1,0.2531578540802002,6,6,1,0,0.8880834579467773,789097,0.17150449752807617,worker1,0.17150449752807617,787791,1306,0.0,0,0
33,1,0.24968647956848145,5,5,1,0,0.5685116052627563,789097,0.16839981079101562,worker1,0.16839981079101562,787791,1306,0.0,0,0
34,1,0.2534947395324707,8,0,0,0,0.7155402302742004,789097,0.1728043556213379,worker1,0.1728043556213379,787791,1306,0.0,0,0
35,1,0.33675384521484375,3,3,1,1,0.914364218711853,789096,0.2552933692932129,worker1,0.2552933692932129,787791,1305,0.0,0,0
36,1,0.3389458656311035,2,2,1,1,0.8774358630180359,789097,0.2571537494659424,worker1,0.2571537494659424,787791,1306,0.0,0,0
37,1,0.25141477584838867,6,6,1,0,0.9950501322746277,789097,0.16978836059570312,worker1,0.16978836059570312,787791,1306,0.0,0,0
38,1,0.2518472671508789,9,9,1,0,0.939853847026825,789096,0.17009902000427246,worker1,0.17009902000427246,787791,1305,0.0,0,0
39,1,0.5003178119659424,2,2,1,2,0.8161798119544983,1840503,0.360623836517334,worker1->worker2,0.25594139099121094,787791,525744,0.10468244552612305,525662,1306
40,1,0.2540748119354248,3,3,1,0,0.769561767578125,789096,0.17249774932861328,worker1,0.17249774932861328,787791,1305,0.0,0,0
41,1,0.25107312202453613,4,6,0,0,0.7682033181190491,789097,0.169356107711792,worker1,0.169356107711792,787791,1306,0.0,0,0
42,1,0.25357842445373535,4,4,1,0,0.9709063768386841,789097,0.1720261573791504,worker1,0.1720261573791504,787791,1306,0.0,0,0
