sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
0,1,0.28089451789855957,6,6,1,0,0.9934602975845337,0.1957838535308838,0.08511066436767578,0.30299866656141755,worker1,0.1957838535308838,0.0,0.0
1,1,0.2597634792327881,9,9,1,0,0.9380119442939758,0.17746853828430176,0.08229494094848633,0.3168072016572329,worker1,0.17746853828430176,0.0,0.0
2,1,0.48143601417541504,4,0,0,2,0.9262692928314209,0.33815526962280273,0.1432807445526123,0.2976111888887623,worker1->worker2,0.2627723217010498,0.07538294792175293,0.0
3,1,0.2592344284057617,7,7,1,0,0.9755551815032959,0.17759060859680176,0.08164381980895996,0.31494204034183504,worker1,0.17759060859680176,0.0,0.0
4,1,0.346447229385376,3,5,0,1,0.9324094653129578,0.26526451110839844,0.08118271827697754,0.23432924668210486,worker1,0.26526451110839844,0.0,0.0
5,1,0.2564857006072998,5,5,1,0,0.8603829145431519,0.1746995449066162,0.0817861557006836,0.3188721847145185,worker1,0.1746995449066162,0.0,0.0
6,1,0.6468915939331055,7,7,1,3,0.9901102185249329,0.45967769622802734,0.18721389770507812,0.28940536476415823,worker1->worker2->worker3,0.26335763931274414,0.07159423828125,0.1247258186340332
7,1,0.2585914134979248,1,1,1,0,0.9943035840988159,0.1763472557067871,0.0822441577911377,0.3180467467137988,worker1,0.1763472557067871,0.0,0.0
8,1,0.2603180408477783,0,8,0,0,0.8454197645187378,0.17830324172973633,0.08201479911804199,0.3150561476682301,worker1,0.17830324172973633,0.0,0.0
9,1,0.34432101249694824,3,5,0,1,0.9412292838096619,0.2619359493255615,0.08238506317138672,0.23926818341392078,worker1,0.2619359493255615,0.0,0.0
10,1,0.25873875617980957,0,0,1,0,0.9953692555427551,0.17694854736328125,0.08179020881652832,0.3161111617916587,worker1,0.17694854736328125,0.0,0.0
11,1,0.25746703147888184,3,3,1,0,0.8848108649253845,0.17571640014648438,0.08175063133239746,0.31751883284949,worker1,0.17571640014648438,0.0,0.0
12,1,0.34500932693481445,4,4,1,1,0.6901310086250305,0.2630183696746826,0.08199095726013184,0.2376485238488149,worker1,0.2630183696746826,0.0,0.0
13,1,0.25822997093200684,3,3,1,0,0.9566307663917542,0.17565417289733887,0.08257579803466797,0.3197761969171679,worker1,0.17565417289733887,0.0,0.0
14,1,0.3478221893310547,6,6,1,1,0.9993394017219543,0.2656564712524414,0.08216571807861328,0.23622908658196196,worker1,0.2656564712524414,0.0,0.0
15,1,0.25675511360168457,2,6,0,0,0.7864032983779907,0.17496991157531738,0.08178520202636719,0.3185338779785479,worker1,0.17496991157531738,0.0,0.0
16,1,0.2606532573699951,3,3,1,0,0.8526744842529297,0.17898893356323242,0.0816643238067627,0.3133063619874156,worker1,0.17898893356323242,0.0,0.0
17,1,0.6448111534118652,2,7,0,3,0.7277753353118896,0.476682186126709,0.16812896728515625,0.26074140683755503,worker1->worker2->worker3,0.2618708610534668,0.13672471046447754,0.07808661460876465
18,1,0.3501861095428467,9,9,1,1,0.9900851249694824,0.268141508102417,0.08204460144042969,0.23428856600718825,worker1,0.268141508102417,0.0,0.0
19,1,0.3464164733886719,4,4,1,1,0.9282248020172119,0.26374387741088867,0.0826725959777832,0.23865087929876336,worker1,0.26374387741088867,0.0,0.0
20,1,0.25714874267578125,8,8,1,0,0.995657205581665,0.17499351501464844,0.08215522766113281,0.3194852395786975,worker1,0.17499351501464844,0.0,0.0
21,1,0.2595486640930176,6,6,1,0,0.9967337846755981,0.17754864692687988,0.0820000171661377,0.31593311201459456,worker1,0.17754864692687988,0.0,0.0
22,1,0.4790489673614502,6,7,0,2,0.8446340560913086,0.3406364917755127,0.1384124755859375,0.2889317898925833,worker1->worker2,0.2620084285736084,0.0786280632019043,0.0
23,1,0.34711194038391113,0,0,1,1,0.8738699555397034,0.2648429870605469,0.08226895332336426,0.2370098626753477,worker1,0.2648429870605469,0.0,0.0
24,1,0.26065611839294434,8,8,1,0,0.9999071359634399,0.17877459526062012,0.08188152313232422,0.3141362022773859,worker1,0.17877459526062012,0.0,0.0
25,1,0.25681185722351074,0,0,1,0,0.9992430210113525,0.17473983764648438,0.08207201957702637,0.31958033583159956,worker1,0.17473983764648438,0.0,0.0
26,1,0.25662922859191895,5,5,1,0,0.9642856121063232,0.17450618743896484,0.0821230411529541,0.3200065775965945,worker1,0.17450618743896484,0.0,0.0
27,1,0.3440728187561035,3,3,1,1,0.9507941603660583,0.2620279788970947,0.08204483985900879,0.23845196535901428,worker1,0.2620279788970947,0.0,0.0
28,1,0.34683656692504883,8,8,1,1,0.999142050743103,0.265897274017334,0.08093929290771484,0.23336435839305772,worker1,0.265897274017334,0.0,0.0
29,1,0.3459479808807373,3,3,1,1,0.9892761707305908,0.2636725902557373,0.082275390625,0.2378259020779305,worker1,0.2636725902557373,0.0,0.0
30,1,0.25792622566223145,9,9,1,0,0.9804675579071045,0.17627978324890137,0.08164644241333008,0.31654959554307044,worker1,0.17627978324890137,0.0,0.0
31,1,0.25829577445983887,8,8,1,0,0.948083758354187,0.1752946376800537,0.08300113677978516,0.32134144258984226,worker1,0.1752946376800537,0.0,0.0
32,1,0.25934267044067383,3,3,1,0,0.8618904948234558,0.17795014381408691,0.08139252662658691,0.3138416307979135,worker1,0.17795014381408691,0.0,0.0
33,1,0.25716280937194824,0,0,1,0,0.9914071559906006,0.17489194869995117,0.08227086067199707,0.3199174129141059,worker1,0.17489194869995117,0.0,0.0
34,1,0.2579615116119385,9,9,1,0,0.9647979140281677,0.17582988739013672,0.08213162422180176,0.31838712569398936,worker1,0.17582988739013672,0.0,0.0
35,1,0.25730228424072266,5,5,1,0,0.9092524647712708,0.17520809173583984,0.08209419250488281,0.3190573793277267,worker1,0.17520809173583984,0.0,0.0
36,1,0.2576420307159424,1,1,1,0,0.9988799691200256,0.1757211685180664,0.08192086219787598,0.3179638895495124,worker1,0.1757211685180664,0.0,0.0
37,1,0.2557027339935303,1,1,1,0,0.7528339624404907,0.17485880851745605,0.08084392547607422,0.31616371171893576,worker1,0.17485880851745605,0.0,0.0
38,1,0.4862172603607178,5,5,1,2,0.771013617515564,0.345048189163208,0.14116907119750977,0.29034154627250053,worker1->worker2,0.2624399662017822,0.08260822296142578,0.0
39,1,0.25962328910827637,7,7,1,0,0.7276782989501953,0.17761921882629395,0.08200407028198242,0.3158579130695108,worker1,0.17761921882629395,0.0,0.0
40,1,0.34810853004455566,2,2,1,1,0.9077792167663574,0.2660846710205078,0.08202385902404785,0.23562725973290377,worker1,0.2660846710205078,0.0,0.0
41,1,0.34384965896606445,9,9,1,1,0.8561689257621765,0.2616260051727295,0.08222365379333496,0.23912675685233079,worker1,0.2616260051727295,0.0,0.0
42,1,0.2585933208465576,1,1,1,0,0.9860721230506897,0.17665886878967285,0.08193445205688477,0.3168467452626222,worker1,0.17665886878967285,0.0,0.0
43,1,0.3450329303741455,3,9,0,1,0.9307067394256592,0.26319432258605957,0.08183860778808594,0.2371907159683051,worker1,0.26319432258605957,0.0,0.0
44,1,0.2567119598388672,0,0,1,0,0.9888402819633484,0.17502450942993164,0.08168745040893555,0.3182066408600872,worker1,0.17502450942993164,0.0,0.0
45,1,0.2579457759857178,0,0,1,0,0.718842625617981,0.17704248428344727,0.08090329170227051,0.31364456887539827,worker1,0.17704248428344727,0.0,0.0
46,1,0.34482407569885254,6,6,1,1,0.9769887328147888,0.26240992546081543,0.08241415023803711,0.23900346885874754,worker1,0.26240992546081543,0.0,0.0
47,1,0.2586064338684082,7,7,1,0,0.9981080293655396,0.17675018310546875,0.08185625076293945,0.3165282840742933,worker1,0.17675018310546875,0.0,0.0
48,1,0.2568392753601074,3,3,1,0,0.7779723405838013,0.17481637001037598,0.08202290534973145,0.3193549944210415,worker1,0.17481637001037598,0.0,0.0
49,1,0.25624966621398926,5,5,1,0,0.6051855087280273,0.1742558479309082,0.08199381828308105,0.31997629302123487,worker1,0.1742558479309082,0.0,0.0
50,1,0.25649404525756836,8,8,1,0,0.9958244562149048,0.17442798614501953,0.08206605911254883,0.3199530773907014,worker1,0.17442798614501953,0.0,0.0
51,1,0.25867366790771484,6,6,1,0,0.8335590958595276,0.1763596534729004,0.08231401443481445,0.31821566957554037,worker1,0.1763596534729004,0.0,0.0
52,1,0.25772881507873535,2,2,1,0,0.9453049898147583,0.1753067970275879,0.08242201805114746,0.31980133081342804,worker1,0.1753067970275879,0.0,0.0
53,1,0.25763511657714844,1,1,1,0,0.9839159846305847,0.17554283142089844,0.08209228515625,0.31863779381824914,worker1,0.17554283142089844,0.0,0.0
54,1,0.25945258140563965,8,8,1,0,0.9983202815055847,0.17725610733032227,0.08219647407531738,0.31680730879608315,worker1,0.17725610733032227,0.0,0.0
55,1,0.2567634582519531,0,0,1,0,0.986230194568634,0.17481327056884766,0.08195018768310547,0.3191660847732101,worker1,0.17481327056884766,0.0,0.0
56,1,0.2597651481628418,1,1,1,0,0.9990594983100891,0.17752623558044434,0.08223891258239746,0.3165894777033117,worker1,0.17752623558044434,0.0,0.0
57,1,0.2607076168060303,3,3,1,0,0.8195361495018005,0.17856812477111816,0.08213949203491211,0.31506364501818496,worker1,0.17856812477111816,0.0,0.0
58,1,0.2586827278137207,6,6,1,0,0.9802259206771851,0.17703795433044434,0.08164477348327637,0.3156174135525173,worker1,0.17703795433044434,0.0,0.0
59,1,0.34502458572387695,4,2,0,1,0.8715466856956482,0.262880802154541,0.08214378356933594,0.23808095703381432,worker1,0.262880802154541,0.0,0.0
60,1,0.25731754302978516,4,4,1,0,0.9515477418899536,0.1753697395324707,0.08194780349731445,0.3184695552911788,worker1,0.1753697395324707,0.0,0.0
61,1,0.25916481018066406,7,7,1,0,0.9598994255065918,0.1782691478729248,0.08089566230773926,0.31213983970797116,worker1,0.1782691478729248,0.0,0.0
62,1,0.3454279899597168,6,6,1,1,0.724049985408783,0.26331138610839844,0.08211660385131836,0.2377242326566954,worker1,0.26331138610839844,0.0,0.0
63,1,0.3474915027618408,3,3,1,1,0.9988775849342346,0.2653536796569824,0.0821378231048584,0.23637361619502087,worker1,0.2653536796569824,0.0,0.0
64,1,0.514552116394043,3,3,1,2,0.8333935737609863,0.37299156188964844,0.14156055450439453,0.27511412351472625,worker1->worker2,0.26465630531311035,0.10833525657653809,0.0
65,1,0.26053714752197266,8,8,1,0,0.7745107412338257,0.17873334884643555,0.08180379867553711,0.3139813245580963,worker1,0.17873334884643555,0.0,0.0
66,1,0.34639453887939453,2,2,1,1,0.7560257911682129,0.26430416107177734,0.08209037780761719,0.23698519634051995,worker1,0.26430416107177734,0.0,0.0
67,1,0.25953125953674316,1,1,1,0,0.821933388710022,0.17757439613342285,0.08195686340332031,0.31578802318306964,worker1,0.17757439613342285,0.0,0.0
68,1,0.2599201202392578,5,5,1,0,0.8282151818275452,0.17801809310913086,0.08190202713012695,0.31510460619491754,worker1,0.17801809310913086,0.0,0.0
69,1,0.2587406635284424,7,7,1,0,0.9209400415420532,0.1768631935119629,0.08187747001647949,0.31644608504870364,worker1,0.1768631935119629,0.0,0.0
70,1,0.3469116687774658,4,4,1,1,0.9826557636260986,0.2648284435272217,0.08208322525024414,0.23661131244016542,worker1,0.2648284435272217,0.0,0.0
71,1,0.3459477424621582,3,3,1,1,0.9991694688796997,0.2638437747955322,0.08210396766662598,0.23733054906582313,worker1,0.2638437747955322,0.0,0.0
72,1,0.2573819160461426,9,9,1,0,0.9119638204574585,0.17558789253234863,0.08179402351379395,0.3177924260192786,worker1,0.17558789253234863,0.0,0.0
73,1,0.3471188545227051,4,3,0,1,0.8025118112564087,0.26510143280029297,0.08201742172241211,0.23628051502759076,worker1,0.26510143280029297,0.0,0.0
74,1,0.2582254409790039,6,6,1,0,0.8970283269882202,0.17626690864562988,0.08195853233337402,0.3173913926631187,worker1,0.17626690864562988,0.0,0.0
75,1,0.26256561279296875,5,2,0,0,0.8050047159194946,0.18034625053405762,0.08221936225891113,0.3131383481040244,worker1,0.18034625053405762,0.0,0.0
76,1,0.2568032741546631,2,2,1,0,0.9697093963623047,0.1752939224243164,0.08150935173034668,0.3173999708479442,worker1,0.1752939224243164,0.0,0.0
77,1,0.4810943603515625,5,5,1,2,0.9094552397727966,0.3453805446624756,0.13571381568908691,0.2820939650797678,worker1->worker2,0.2651834487915039,0.08019709587097168,0.0
78,1,0.26189541816711426,7,7,1,0,0.7598971724510193,0.17995095252990723,0.08194446563720703,0.3128900314892819,worker1,0.17995095252990723,0.0,0.0
79,1,0.4766194820404053,8,8,1,2,0.7869961857795715,0.3402211666107178,0.1363983154296875,0.2861786405494108,worker1->worker2,0.2641010284423828,0.07612013816833496,0.0
80,1,0.2629506587982178,9,9,1,0,0.9832965135574341,0.1811988353729248,0.08175182342529297,0.3109017630871479,worker1,0.1811988353729248,0.0,0.0
81,1,0.6540470123291016,3,0,0,3,0.871398389339447,0.4784553050994873,0.17559170722961426,0.26846955023052765,worker1->worker2->worker3,0.26643800735473633,0.08977198600769043,0.12224531173706055
82,1,0.34690237045288086,3,7,0,1,0.8433372378349304,0.2649416923522949,0.08196067810058594,0.23626439333229785,worker1,0.2649416923522949,0.0,0.0
83,1,0.47992610931396484,6,4,0,2,0.5277234315872192,0.34343481063842773,0.1364912986755371,0.28440065257263447,worker1->worker2,0.26758790016174316,0.07584691047668457,0.0
