sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
0,1,0.48618078231811523,6,6,1,1,0.8108156323432922,0.4012129306793213,0.08496785163879395,0.17476596099431638,worker1,0.4012129306793213,0.0,0.0
1,1,0.2939271926879883,3,3,1,0,0.9137629270553589,0.21229863166809082,0.08162856101989746,0.2777169416459824,worker1,0.21229863166809082,0.0,0.0
2,1,0.2897756099700928,5,5,1,0,0.8631826043128967,0.20970678329467773,0.08006882667541504,0.27631320207963256,worker1,0.20970678329467773,0.0,0.0
3,1,0.2894625663757324,8,0,0,0,0.9874030351638794,0.2079148292541504,0.08154773712158203,0.28172118468586455,worker1,0.2079148292541504,0.0,0.0
4,1,0.2902851104736328,8,8,1,0,0.9935111403465271,0.20845818519592285,0.08182692527770996,0.2818846793216508,worker1,0.20845818519592285,0.0,0.0
5,1,0.29111790657043457,7,7,1,0,0.9262229800224304,0.20905590057373047,0.0820620059967041,0.28188580690020043,worker1,0.20905590057373047,0.0,0.0
6,1,0.2896299362182617,9,9,1,0,0.9889792203903198,0.20842766761779785,0.08120226860046387,0.2803655922475872,worker1,0.20842766761779785,0.0,0.0
7,1,0.2917311191558838,0,0,1,0,0.9446268081665039,0.21158838272094727,0.08014273643493652,0.2747143899726138,worker1,0.21158838272094727,0.0,0.0
8,1,0.28963470458984375,9,9,1,0,0.8530508875846863,0.20780134201049805,0.0818333625793457,0.28253990727813927,worker1,0.20780134201049805,0.0,0.0
9,1,0.4416017532348633,4,4,1,1,0.9671680331230164,0.36014866828918457,0.08145308494567871,0.18444918832185517,worker1,0.36014866828918457,0.0,0.0
10,1,0.2959413528442383,7,3,0,0,0.7829483151435852,0.21411967277526855,0.08182168006896973,0.27647937431723046,worker1,0.21411967277526855,0.0,0.0
11,1,0.2891838550567627,9,9,1,0,0.9968379735946655,0.20837998390197754,0.08080387115478516,0.2794204093410557,worker1,0.20837998390197754,0.0,0.0
12,1,0.289473295211792,5,5,1,0,0.75680011510849,0.20865249633789062,0.08082079887390137,0.27919949857471016,worker1,0.20865249633789062,0.0,0.0
13,1,0.291964054107666,9,1,0,0,0.5406678915023804,0.20992112159729004,0.08204293251037598,0.2810035391552737,worker1,0.20992112159729004,0.0,0.0
14,1,0.2898290157318115,9,9,1,0,0.9718177318572998,0.20800328254699707,0.08182573318481445,0.28232415922265885,worker1,0.20800328254699707,0.0,0.0
15,1,0.2914316654205322,1,1,1,0,0.999859094619751,0.20923995971679688,0.08219170570373535,0.28202736852611315,worker1,0.20923995971679688,0.0,0.0
16,1,0.4428088665008545,3,3,1,1,0.9601279497146606,0.36077308654785156,0.08203577995300293,0.18526227941473394,worker1,0.36077308654785156,0.0,0.0
17,1,0.294034481048584,0,0,1,0,0.9941944479942322,0.21246552467346191,0.08156895637512207,0.27741289417564685,worker1,0.21246552467346191,0.0,0.0
18,1,0.2880666255950928,6,6,1,0,0.7804793119430542,0.20778942108154297,0.0802772045135498,0.27867582489888176,worker1,0.20778942108154297,0.0,0.0
19,1,0.29050254821777344,4,4,1,0,0.8020114898681641,0.21041250228881836,0.08009004592895508,0.275694813764305,worker1,0.21041250228881836,0.0,0.0
20,1,0.29076194763183594,8,8,1,0,0.6434707641601562,0.2088325023651123,0.08192944526672363,0.2817749913082267,worker1,0.2088325023651123,0.0,0.0
21,1,0.2903904914855957,5,5,1,0,0.8883575797080994,0.20863580703735352,0.08175468444824219,0.2815336136868568,worker1,0.20863580703735352,0.0,0.0
22,1,0.29018497467041016,8,8,1,0,0.9869869351387024,0.20888781547546387,0.08129715919494629,0.2801563357554366,worker1,0.20888781547546387,0.0,0.0
