sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,path,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,worker2_compute_time_sec,worker2_request_bytes,worker2_response_bytes,worker3_compute_time_sec,worker3_request_bytes,worker3_response_bytes
0,1,0.27696824073791504,8,8,1,0,0.8308975696563721,789091,0.19309282302856445,worker1,0.19309282302856445,787788,1303,0.0,0,0,0.0,0,0
1,1,0.25725793838500977,4,4,1,0,0.9949977397918701,789091,0.17554092407226562,worker1,0.17554092407226562,787788,1303,0.0,0,0,0.0,0,0
2,1,0.25553202629089355,7,7,1,0,0.9890701770782471,789091,0.17425775527954102,worker1,0.17425775527954102,787788,1303,0.0,0,0,0.0,0,0
3,1,0.25586915016174316,8,8,1,0,0.7259812355041504,789091,0.17565011978149414,worker1,0.17565011978149414,787788,1303,0.0,0,0,0.0,0,0
4,1,0.45740818977355957,1,0,0,1,0.8580713272094727,2889076,0.26723790168762207,worker1->worker2,0.17531681060791016,787788,1050033,0.09192109107971191,1049952,1303,0.0,0,0
5,1,0.6069402694702148,0,2,0,2,0.6029171943664551,3940476,0.3525667190551758,worker1->worker2->worker3,0.17297792434692383,787788,1050033,0.0902245044708252,1049952,525741,0.08936429023742676,525659,1303
6,1,0.45130205154418945,2,2,1,1,0.5258168578147888,2889076,0.26517486572265625,worker1->worker2,0.17415261268615723,787788,1050033,0.09102225303649902,1049952,1303,0.0,0,0
7,1,0.25566792488098145,1,1,1,0,0.9973475933074951,789091,0.17401456832885742,worker1,0.17401456832885742,787788,1303,0.0,0,0,0.0,0,0
8,1,0.25850367546081543,8,8,1,0,0.7058918476104736,789091,0.1769874095916748,worker1,0.1769874095916748,787788,1303,0.0,0,0,0.0,0,0
9,1,0.2593247890472412,0,0,1,0,0.9498879909515381,789091,0.1771101951599121,worker1,0.1771101951599121,787788,1303,0.0,0,0,0.0,0,0
10,1,0.2560896873474121,7,7,1,0,0.9883203506469727,789097,0.17458271980285645,worker1,0.17458271980285645,787791,1306,0.0,0,0,0.0,0,0
11,1,0.2593879699707031,8,8,1,0,0.9426976442337036,789097,0.17777681350708008,worker1,0.17777681350708008,787791,1306,0.0,0,0,0.0,0,0
12,1,0.25724077224731445,8,8,1,0,0.9482527375221252,789097,0.17423462867736816,worker1,0.17423462867736816,787791,1306,0.0,0,0,0.0,0,0
13,1,0.2558872699737549,7,7,1,0,0.9818587303161621,789097,0.17606687545776367,worker1,0.17606687545776367,787791,1306,0.0,0,0,0.0,0,0
14,1,0.2563011646270752,1,1,1,0,0.9951773881912231,789097,0.17514371871948242,worker1,0.17514371871948242,787791,1306,0.0,0,0,0.0,0,0
15,1,0.2558469772338867,9,9,1,0,0.9969209432601929,789097,0.17564606666564941,worker1,0.17564606666564941,787791,1306,0.0,0,0,0.0,0,0
16,1,0.449817419052124,2,2,1,1,0.788616418838501,2889087,0.26382994651794434,worker1->worker2,0.17523860931396484,787791,1050036,0.08859133720397949,1049955,1305,0.0,0,0
17,1,0.44574809074401855,6,6,1,1,0.677719235420227,2889087,0.25908565521240234,worker1->worker2,0.17180132865905762,787791,1050036,0.08728432655334473,1049955,1305,0.0,0,0
18,1,0.25450873374938965,7,4,0,0,0.5437828302383423,789097,0.17350482940673828,worker1,0.17350482940673828,787791,1306,0.0,0,0,0.0,0,0
19,1,0.25687360763549805,3,3,1,0,0.5593956112861633,789097,0.17657780647277832,worker1,0.17657780647277832,787791,1306,0.0,0,0,0.0,0,0
20,1,0.25584840774536133,9,9,1,0,0.7065461277961731,789097,0.1740577220916748,worker1,0.1740577220916748,787791,1306,0.0,0,0,0.0,0,0
21,1,0.2560431957244873,8,8,1,0,0.7357038259506226,789097,0.1755664348602295,worker1,0.1755664348602295,787791,1306,0.0,0,0,0.0,0,0
22,1,0.2565042972564697,5,5,1,0,0.9511515498161316,789097,0.17549800872802734,worker1,0.17549800872802734,787791,1306,0.0,0,0,0.0,0,0
23,1,0.45421290397644043,6,2,0,1,0.9398029446601868,2889088,0.26369571685791016,worker1->worker2,0.17637085914611816,787791,1050036,0.08732485771179199,1049955,1306,0.0,0,0
24,1,0.2582693099975586,0,0,1,0,0.9988293051719666,789097,0.17637324333190918,worker1,0.17637324333190918,787791,1306,0.0,0,0,0.0,0,0
