sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,path,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,worker2_compute_time_sec,worker2_request_bytes,worker2_response_bytes,jetson_compute_time_sec,jetson_request_bytes,jetson_response_bytes
0,1,0.26018691062927246,8,8,1,0,0.6488430500030518,789091,0.17566299438476562,worker1,0.17566299438476562,787788,1303,0.0,0,0,0.0,0,0
1,1,0.4562544822692871,3,3,1,1,0.9712421894073486,2889074,0.2687959671020508,worker1->worker2,0.1775350570678711,787788,1050032,0.09126091003417969,1049951,1303,0.0,0,0
2,1,0.2576165199279785,3,5,0,0,0.9138480424880981,789091,0.17621421813964844,worker1,0.17621421813964844,787788,1303,0.0,0,0,0.0,0,0
3,1,0.4499354362487793,9,9,1,1,0.9986737966537476,2889074,0.2646207809448242,worker1->worker2,0.17439627647399902,787788,1050032,0.0902245044708252,1049951,1303,0.0,0,0
4,1,0.44976043701171875,7,7,1,1,0.9758747816085815,2889074,0.26477813720703125,worker1->worker2,0.17492151260375977,787788,1050032,0.08985662460327148,1049951,1303,0.0,0,0
5,1,0.25635504722595215,1,1,1,0,0.9679591655731201,789091,0.17522048950195312,worker1,0.17522048950195312,787788,1303,0.0,0,0,0.0,0,0
6,1,0.2588043212890625,9,9,1,0,0.9143127202987671,789091,0.17820143699645996,worker1,0.17820143699645996,787788,1303,0.0,0,0,0.0,0,0
7,1,0.25899434089660645,7,7,1,0,0.9524174332618713,789091,0.17715883255004883,worker1,0.17715883255004883,787788,1303,0.0,0,0,0.0,0,0
8,1,0.2590494155883789,3,3,1,0,0.8198001980781555,789091,0.17740893363952637,worker1,0.17740893363952637,787788,1303,0.0,0,0,0.0,0,0
9,1,0.25781702995300293,8,8,1,0,0.9989008903503418,789091,0.1761469841003418,worker1,0.1761469841003418,787788,1303,0.0,0,0,0.0,0,0
10,1,0.2595334053039551,7,7,1,0,0.9936801195144653,789097,0.1776585578918457,worker1,0.1776585578918457,787791,1306,0.0,0,0,0.0,0,0
11,1,0.25808000564575195,1,1,1,0,0.9891301393508911,789097,0.17659449577331543,worker1,0.17659449577331543,787791,1306,0.0,0,0,0.0,0,0
12,1,0.2588965892791748,3,3,1,0,0.7528285980224609,789097,0.17675566673278809,worker1,0.17675566673278809,787791,1306,0.0,0,0,0.0,0,0
13,1,0.256669282913208,7,7,1,0,0.7865986824035645,789097,0.17614316940307617,worker1,0.17614316940307617,787791,1306,0.0,0,0,0.0,0,0
14,1,0.2582259178161621,7,7,1,0,0.8568986654281616,789097,0.1764369010925293,worker1,0.1764369010925293,787791,1306,0.0,0,0,0.0,0,0
15,1,0.2586815357208252,7,7,1,0,0.9954577684402466,789097,0.1771392822265625,worker1,0.1771392822265625,787791,1306,0.0,0,0,0.0,0,0
16,1,0.25879502296447754,4,4,1,0,0.8722178339958191,789097,0.17685246467590332,worker1,0.17685246467590332,787791,1306,0.0,0,0,0.0,0,0
17,1,0.47984814643859863,4,4,1,1,0.5722129344940186,2889086,0.29500293731689453,worker1->worker2,0.1784977912902832,787791,1050035,0.11650514602661133,1049954,1306,0.0,0,0
18,1,0.6214957237243652,5,2,0,2,0.9792243838310242,3940491,0.35570502281188965,worker1->worker2->jetson,0.1775648593902588,787791,1050035,0.10372400283813477,1049954,525744,0.0744161605834961,525662,1305
19,1,0.25768303871154785,4,4,1,0,0.8891892433166504,789097,0.17615294456481934,worker1,0.17615294456481934,787791,1306,0.0,0,0,0.0,0,0
20,1,0.25629615783691406,1,1,1,0,0.9221219420433044,789097,0.17572665214538574,worker1,0.17572665214538574,787791,1306,0.0,0,0,0.0,0,0
21,1,0.452880859375,4,6,0,1,0.7350577116012573,2889086,0.26726698875427246,worker1->worker2,0.17651605606079102,787791,1050035,0.09075093269348145,1049954,1306,0.0,0,0
22,1,0.2570812702178955,2,2,1,0,0.811030387878418,789096,0.17542648315429688,worker1,0.17542648315429688,787791,1305,0.0,0,0,0.0,0,0
23,1,0.4493134021759033,9,9,1,1,0.9902077317237854,2889086,0.2654390335083008,worker1->worker2,0.17723655700683594,787791,1050035,0.08820247650146484,1049954,1306,0.0,0,0
24,1,0.45925378799438477,4,3,0,1,0.5540084838867188,2889086,0.275836706161499,worker1->worker2,0.17571163177490234,787791,1050035,0.10012507438659668,1049954,1306,0.0,0,0
25,1,0.25837039947509766,9,9,1,0,0.9998086094856262,789097,0.17501068115234375,worker1,0.17501068115234375,787791,1306,0.0,0,0,0.0,0,0
26,1,0.4506111145019531,6,6,1,1,0.9747146964073181,2889086,0.26698899269104004,worker1->worker2,0.17833375930786133,787791,1050035,0.08865523338317871,1049954,1306,0.0,0,0
27,1,0.4489166736602783,1,1,1,1,0.888664960861206,2889085,0.26453113555908203,worker1->worker2,0.17646431922912598,787791,1050035,0.08806681632995605,1049954,1305,0.0,0,0
28,1,0.258756160736084,5,5,1,0,0.8222682476043701,789097,0.1771223545074463,worker1,0.1771223545074463,787791,1306,0.0,0,0,0.0,0,0
