model_instance_id,sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.7595899105072021,3,3,1,1,0.973368763923645,0.2738969326019287,0.48569297790527344,0.6394147304839277,worker1,worker1,worker1,0,0.2738969326019287,0.0,0.0
model_0,1,1,0.5455799102783203,1,1,1,0,0.9915189146995544,0.18522214889526367,0.36035776138305664,0.6605040885747148,worker1,worker1,worker1,0,0.18522214889526367,0.0,0.0
model_0,2,1,0.27167749404907227,9,9,1,0,0.8864012360572815,0.18884754180908203,0.08282995223999023,0.30488337847016844,worker1,worker1,worker1,0,0.18884754180908203,0.0,0.0
model_0,3,1,0.27025341987609863,6,6,1,0,0.97881019115448,0.18683218955993652,0.08342123031616211,0.30867779713724885,worker1,worker1,worker1,0,0.18683218955993652,0.0,0.0
model_0,4,1,0.43833255767822266,0,0,1,0,0.9749362468719482,0.1840219497680664,0.25431060791015625,0.5801773184661408,worker1,worker1,worker1,0,0.1840219497680664,0.0,0.0
model_0,5,1,0.889927864074707,5,5,1,1,0.9634191393852234,0.27393293380737305,0.615994930267334,0.692185237853866,worker1,worker1,worker1,0,0.27393293380737305,0.0,0.0
model_0,6,1,0.5308618545532227,5,5,1,0,0.9552788138389587,0.18393468856811523,0.3469271659851074,0.6535168481394918,worker1,worker1,worker1,0,0.18393468856811523,0.0,0.0
model_0,7,1,0.2707958221435547,0,0,1,0,0.7595022320747375,0.18689894676208496,0.08389687538146973,0.3098159887304103,worker1,worker1,worker1,0,0.18689894676208496,0.0,0.0
model_0,8,1,0.5745561122894287,6,6,1,1,0.8142089247703552,0.2763683795928955,0.2981877326965332,0.5189880088619145,worker1,worker1,worker1,0,0.2763683795928955,0.0,0.0
model_0,9,1,0.27091026306152344,8,8,1,0,0.9426653385162354,0.18711256980895996,0.08379769325256348,0.3093190058788327,worker1,worker1,worker1,0,0.18711256980895996,0.0,0.0
model_0,10,1,0.26973700523376465,8,0,0,0,0.8886680603027344,0.1856858730316162,0.08405113220214844,0.31160400898388574,worker1,worker1,worker1,0,0.1856858730316162,0.0,0.0
model_0,11,1,0.923602819442749,8,0,0,1,0.838599681854248,0.27489137649536133,0.6487114429473877,0.7023705745493332,worker1,worker1,worker1,0,0.27489137649536133,0.0,0.0
model_0,12,1,0.5263667106628418,7,7,1,0,0.9501630067825317,0.18225860595703125,0.34410810470581055,0.6537421492185228,worker1,worker1,worker1,0,0.18225860595703125,0.0,0.0
model_0,13,1,0.3716552257537842,9,9,1,1,0.8082136511802673,0.2871510982513428,0.0845041275024414,0.22737236461844904,worker1,worker1,worker1,0,0.2871510982513428,0.0,0.0
model_0,14,1,1.0631623268127441,0,0,1,0,0.8425293564796448,0.18311047554016113,0.880051851272583,0.8277680924895935,worker1,worker1,worker1,0,0.18311047554016113,0.0,0.0
model_0,15,1,0.26664113998413086,4,4,1,0,0.8278902769088745,0.18324708938598633,0.08339405059814453,0.31275762848564076,worker1,worker1,worker1,0,0.18324708938598633,0.0,0.0
model_0,16,1,0.9742305278778076,1,1,1,0,0.963917076587677,0.18473505973815918,0.7894954681396484,0.8103784941531523,worker1,worker1,worker1,0,0.18473505973815918,0.0,0.0
model_0,17,1,0.2665114402770996,2,2,1,0,0.9062745571136475,0.18221354484558105,0.08429789543151855,0.31630122648345455,worker1,worker1,worker1,0,0.18221354484558105,0.0,0.0
model_0,18,1,0.7584934234619141,2,2,1,2,0.9566418528556824,0.383495569229126,0.3749978542327881,0.4943982935556958,worker1->worker2,worker1,worker2,0,0.2762458324432373,0.10724973678588867,0.0
model_0,19,1,0.8044064044952393,4,5,0,1,0.984750509262085,0.27339839935302734,0.5310080051422119,0.6601240395088807,worker1,worker1,worker1,0,0.27339839935302734,0.0,0.0
model_0,20,1,0.2707557678222656,2,2,1,0,0.8541183471679688,0.18613123893737793,0.0846245288848877,0.3125493117488764,worker1,worker1,worker1,0,0.18613123893737793,0.0,0.0
model_0,21,1,0.9239511489868164,0,0,1,1,0.7555469870567322,0.27472519874572754,0.6492259502410889,0.7026626363883146,worker1,worker1,worker1,0,0.27472519874572754,0.0,0.0
model_0,22,1,0.5305972099304199,0,0,1,0,0.9956336617469788,0.18252229690551758,0.34807491302490234,0.6560059240992754,worker1,worker1,worker1,0,0.18252229690551758,0.0,0.0
model_0,23,1,0.2706329822540283,5,5,1,0,0.7906503677368164,0.18644309043884277,0.08418989181518555,0.31108511281215945,worker1,worker1,worker1,0,0.18644309043884277,0.0,0.0
model_0,24,1,0.6665587425231934,2,2,1,0,0.6870103478431702,0.18291664123535156,0.4836421012878418,0.7255806134311008,worker1,worker1,worker1,0,0.18291664123535156,0.0,0.0
model_0,25,1,0.6761400699615479,3,3,1,0,0.8567683100700378,0.18626618385314941,0.48987388610839844,0.7245153894462395,worker1,worker1,worker1,0,0.18626618385314941,0.0,0.0
model_0,26,1,0.6678717136383057,5,5,1,0,0.6984119415283203,0.1855456829071045,0.48232603073120117,0.7221836482693306,worker1,worker1,worker1,0,0.1855456829071045,0.0,0.0
model_0,27,1,0.7000865936279297,4,4,1,0,0.8855964541435242,0.18456768989562988,0.5155189037322998,0.7363644846572782,worker1,worker1,worker1,0,0.18456768989562988,0.0,0.0
model_0,28,1,0.6698431968688965,5,5,1,0,0.9043663144111633,0.18340539932250977,0.4864377975463867,0.7261965185586465,worker1,worker1,worker1,0,0.18340539932250977,0.0,0.0
model_0,29,1,0.681342601776123,9,9,1,0,0.9275549054145813,0.18337202072143555,0.4979705810546875,0.7308666444114582,worker1,worker1,worker1,0,0.18337202072143555,0.0,0.0
model_0,30,1,0.4502131938934326,1,1,1,0,0.7588885426521301,0.18469667434692383,0.2655165195465088,0.589757304201435,worker1,worker1,worker1,0,0.18469667434692383,0.0,0.0
model_0,31,1,0.8673713207244873,2,2,1,3,0.5383235812187195,0.4732372760772705,0.3941340446472168,0.45440059548891854,worker1->worker2->worker3,worker1,worker3,0,0.2756004333496094,0.10065054893493652,0.09698629379272461
model_0,32,1,0.8322033882141113,1,1,1,0,0.9976546764373779,0.18299651145935059,0.6492068767547607,0.7801060244995436,worker1,worker1,worker1,0,0.18299651145935059,0.0,0.0
model_0,33,1,0.3732426166534424,1,1,1,1,0.878166913986206,0.2774515151977539,0.09579110145568848,0.2566456700860368,worker1,worker1,worker1,0,0.2774515151977539,0.0,0.0
model_0,34,1,0.9834256172180176,4,4,1,1,0.9610684514045715,0.2746086120605469,0.7088170051574707,0.7207632105035268,worker1,worker1,worker1,0,0.2746086120605469,0.0,0.0
model_0,35,1,0.5328543186187744,6,6,1,0,0.9792775511741638,0.18506669998168945,0.34778761863708496,0.6526879983605919,worker1,worker1,worker1,0,0.18506669998168945,0.0,0.0
model_0,36,1,0.49912524223327637,3,3,1,0,0.8961793780326843,0.18788385391235352,0.31124138832092285,0.623573728566222,worker1,worker1,worker1,0,0.18788385391235352,0.0,0.0
model_0,37,1,0.27803921699523926,0,0,1,0,0.965473473072052,0.19397807121276855,0.0840611457824707,0.3023355722653688,worker1,worker1,worker1,0,0.19397807121276855,0.0,0.0
model_0,38,1,0.9202706813812256,9,9,1,0,0.9998382329940796,0.18643760681152344,0.7338330745697021,0.7974100331744776,worker1,worker1,worker1,0,0.18643760681152344,0.0,0.0
model_0,39,1,0.26703429222106934,9,9,1,0,0.9896982312202454,0.1831202507019043,0.08391404151916504,0.3142444396231149,worker1,worker1,worker1,0,0.1831202507019043,0.0,0.0
model_0,40,1,0.5152039527893066,7,7,1,0,0.9848494529724121,0.18526506423950195,0.3299388885498047,0.6404044199651815,worker1,worker1,worker1,0,0.18526506423950195,0.0,0.0
model_0,41,1,0.8683452606201172,3,3,1,1,0.7179985046386719,0.2733309268951416,0.5950143337249756,0.6852278243564709,worker1,worker1,worker1,0,0.2733309268951416,0.0,0.0
model_0,42,1,0.5874474048614502,3,3,1,0,0.8527107834815979,0.18649077415466309,0.4009566307067871,0.6825404749236282,worker1,worker1,worker1,0,0.18649077415466309,0.0,0.0
model_0,43,1,0.4926588535308838,7,7,1,0,0.8951013684272766,0.18516111373901367,0.3074977397918701,0.6241595732788221,worker1,worker1,worker1,0,0.18516111373901367,0.0,0.0
model_0,44,1,0.8349871635437012,3,3,1,1,0.9858653545379639,0.2730228900909424,0.5619642734527588,0.6730214522912806,worker1,worker1,worker1,0,0.2730228900909424,0.0,0.0
model_0,45,1,0.5920534133911133,5,3,0,0,0.7631205320358276,0.18320178985595703,0.40885162353515625,0.6905654359686412,worker1,worker1,worker1,0,0.18320178985595703,0.0,0.0
model_0,46,1,0.6642169952392578,6,6,1,0,0.8881587386131287,0.1842033863067627,0.4800136089324951,0.7226758911213785,worker1,worker1,worker1,0,0.1842033863067627,0.0,0.0
model_0,47,1,0.8521525859832764,3,7,0,1,0.815497875213623,0.2734644412994385,0.5786881446838379,0.6790898181880243,worker1,worker1,worker1,0,0.2734644412994385,0.0,0.0
model_0,48,1,0.9207489490509033,3,3,1,1,0.9678590893745422,0.27190661430358887,0.6488423347473145,0.704689736997401,worker1,worker1,worker1,0,0.27190661430358887,0.0,0.0
model_0,49,1,0.7564041614532471,4,2,0,0,0.5063724517822266,0.17921066284179688,0.5771934986114502,0.7630755197096125,worker1,worker1,worker1,0,0.17921066284179688,0.0,0.0
model_0,50,1,0.42319798469543457,5,5,1,0,0.9717379808425903,0.17704534530639648,0.24615263938903809,0.5816488931680245,worker1,worker1,worker1,0,0.17704534530639648,0.0,0.0
model_0,51,1,0.4768707752227783,0,0,1,0,0.8936746716499329,0.17834758758544922,0.2985231876373291,0.6260043666921482,worker1,worker1,worker1,0,0.17834758758544922,0.0,0.0
model_0,52,1,0.6399469375610352,6,6,1,1,0.9795122146606445,0.2710580825805664,0.36888885498046875,0.57643662830293,worker1,worker1,worker1,0,0.2710580825805664,0.0,0.0
model_0,53,1,0.6204066276550293,7,7,1,1,0.986995279788971,0.2760295867919922,0.3443770408630371,0.5550827884684114,worker1,worker1,worker1,0,0.2760295867919922,0.0,0.0
model_0,54,1,0.5702817440032959,8,8,1,0,0.8591006994247437,0.17938971519470215,0.39089202880859375,0.6854366861975765,worker1,worker1,worker1,0,0.17938971519470215,0.0,0.0
model_0,55,1,0.48998355865478516,7,7,1,0,0.9726763367652893,0.17746496200561523,0.3125185966491699,0.6378144554628882,worker1,worker1,worker1,0,0.17746496200561523,0.0,0.0
model_0,56,1,0.9503653049468994,5,5,1,0,0.8611946702003479,0.1789546012878418,0.7714107036590576,0.8116991431017774,worker1,worker1,worker1,0,0.1789546012878418,0.0,0.0
model_0,57,1,0.2606492042541504,8,8,1,0,0.9396247267723083,0.17711091041564941,0.08353829383850098,0.3205008589132141,worker1,worker1,worker1,0,0.17711091041564941,0.0,0.0
model_0,58,1,0.5339972972869873,8,8,1,0,0.9969857335090637,0.17782974243164062,0.3561675548553467,0.6669838155827421,worker1,worker1,worker1,0,0.17782974243164062,0.0,0.0
model_0,59,1,0.43181753158569336,3,3,1,0,0.9863022565841675,0.17952442169189453,0.25229310989379883,0.5842586079526318,worker1,worker1,worker1,0,0.17952442169189453,0.0,0.0
model_0,60,1,0.7931950092315674,4,4,1,2,0.8825023174285889,0.377699613571167,0.4154953956604004,0.5238250251510339,worker1->worker2,worker1,worker2,0,0.27058959007263184,0.10711002349853516,0.0
model_0,61,1,0.658642053604126,4,4,1,0,0.8891892433166504,0.18039870262145996,0.478243350982666,0.7261050951206225,worker1,worker1,worker1,0,0.18039870262145996,0.0,0.0
model_0,62,1,0.4865710735321045,0,0,1,0,0.9920004606246948,0.17850232124328613,0.30806875228881836,0.6331423486655164,worker1,worker1,worker1,0,0.17850232124328613,0.0,0.0
model_0,63,1,0.6538488864898682,6,6,1,3,0.639359712600708,0.46938109397888184,0.18446779251098633,0.2821260329757322,worker1->worker2->worker3,worker1,worker3,0,0.2700459957122803,0.07667422294616699,0.12266087532043457
model_0,64,1,0.27411675453186035,8,8,1,0,0.9997826218605042,0.17899203300476074,0.09512472152709961,0.34702264620619294,worker1,worker1,worker1,0,0.17899203300476074,0.0,0.0
model_0,65,1,0.8913991451263428,6,6,1,1,0.992301344871521,0.27416372299194336,0.6172354221343994,0.6924343886900579,worker1,worker1,worker1,0,0.27416372299194336,0.0,0.0
model_0,66,1,0.6195230484008789,7,7,1,1,0.9359207153320312,0.2714366912841797,0.3480863571166992,0.5618618355123096,worker1,worker1,worker1,0,0.2714366912841797,0.0,0.0
