model_instance_id,sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.5715184211730957,6,6,1,0,0.9977337121963501,0.45644354820251465,0.11507487297058105,0.20134936811726728,worker1,worker1,worker1,0,0.45644354820251465,0.0,0.0
model_0,1,1,0.5327637195587158,3,2,0,0,0.8607127666473389,0.4446895122528076,0.0880742073059082,0.16531570013599914,worker1,worker1,worker1,0,0.4446895122528076,0.0,0.0
model_0,2,1,1.4387261867523193,2,2,1,2,0.9978310465812683,1.1607341766357422,0.27799201011657715,0.19322092881627256,worker1->worker2,worker1,worker2,0,0.7217607498168945,0.43897342681884766,0.0
model_0,3,1,0.8182835578918457,7,7,1,1,0.5934956669807434,0.7261426448822021,0.09214091300964355,0.11260266947930295,worker1,worker1,worker1,0,0.7261426448822021,0.0,0.0
model_0,4,1,1.7551860809326172,0,0,1,3,0.7398521304130554,1.4933195114135742,0.26186656951904297,0.14919590142824077,worker1->worker2->worker3,worker1,worker3,0,0.755420446395874,0.4147059917449951,0.3231930732727051
model_0,5,1,0.5650427341461182,7,7,1,0,0.9080207347869873,0.46458864212036133,0.10045409202575684,0.17778140652947452,worker1,worker1,worker1,0,0.46458864212036133,0.0,0.0
model_0,6,1,1.7681875228881836,5,5,1,3,0.35335880517959595,1.4796242713928223,0.28856325149536133,0.16319719925634238,worker1->worker2->worker3,worker1,worker3,0,0.7647364139556885,0.41556358337402344,0.29932427406311035
model_0,7,1,0.5464217662811279,4,4,1,0,0.8499786257743835,0.4483315944671631,0.09809017181396484,0.1795136611807271,worker1,worker1,worker1,0,0.4483315944671631,0.0,0.0
model_0,8,1,0.5968031883239746,6,6,1,0,0.8799445033073425,0.4344794750213623,0.1623237133026123,0.2719886831678501,worker1,worker1,worker1,0,0.4344794750213623,0.0,0.0
model_0,9,1,1.2667791843414307,8,1,0,2,0.8910306692123413,1.1167776584625244,0.15000152587890625,0.11841173878846817,worker1->worker2,worker1,worker2,0,0.6958274841308594,0.42095017433166504,0.0
model_0,10,1,0.6004810333251953,0,0,1,0,0.9782587885856628,0.43474483489990234,0.16573619842529297,0.27600571746208213,worker1,worker1,worker1,0,0.43474483489990234,0.0,0.0
model_0,11,1,0.5596926212310791,3,3,1,0,0.9920796751976013,0.4465756416320801,0.11311697959899902,0.2021055402699273,worker1,worker1,worker1,0,0.4465756416320801,0.0,0.0
model_0,12,1,0.5808098316192627,9,1,0,0,0.7719825506210327,0.4230673313140869,0.15774250030517578,0.2715906166143903,worker1,worker1,worker1,0,0.4230673313140869,0.0,0.0
model_0,13,1,0.625891923904419,2,2,1,0,0.8769710063934326,0.45345473289489746,0.17243719100952148,0.27550633651546313,worker1,worker1,worker1,0,0.45345473289489746,0.0,0.0
model_0,14,1,0.5392470359802246,6,6,1,0,0.992890477180481,0.4532904624938965,0.08595657348632812,0.1594011051541141,worker1,worker1,worker1,0,0.4532904624938965,0.0,0.0
model_0,15,1,0.5893421173095703,9,9,1,0,0.9845948219299316,0.4264681339263916,0.1628739833831787,0.2763657620920109,worker1,worker1,worker1,0,0.4264681339263916,0.0,0.0
model_0,16,1,0.5560612678527832,8,8,1,0,0.9910445213317871,0.4564189910888672,0.09964227676391602,0.17919298200481074,worker1,worker1,worker1,0,0.4564189910888672,0.0,0.0
model_0,17,1,0.8842573165893555,6,6,1,1,0.9540293216705322,0.7700040340423584,0.11425328254699707,0.1292081845448339,worker1,worker1,worker1,0,0.7700040340423584,0.0,0.0
model_0,18,1,0.5546262264251709,1,1,1,0,0.8556268215179443,0.38525962829589844,0.16936659812927246,0.3053706984267955,worker1,worker1,worker1,0,0.38525962829589844,0.0,0.0
model_0,19,1,0.9011204242706299,3,2,0,1,0.9247952699661255,0.7386484146118164,0.16247200965881348,0.1802999968514962,worker1,worker1,worker1,0,0.7386484146118164,0.0,0.0
model_0,20,1,0.8700394630432129,2,2,1,1,0.9061007499694824,0.69529128074646,0.17474818229675293,0.20085086909221447,worker1,worker1,worker1,0,0.69529128074646,0.0,0.0
model_0,21,1,0.5910604000091553,8,8,1,0,0.9972130656242371,0.4230978488922119,0.16796255111694336,0.28417155186566667,worker1,worker1,worker1,0,0.4230978488922119,0.0,0.0
model_0,22,1,0.5439972877502441,2,2,1,0,0.8424801826477051,0.4543032646179199,0.08969402313232422,0.16487954104194696,worker1,worker1,worker1,0,0.4543032646179199,0.0,0.0
model_0,23,1,0.6013073921203613,7,7,1,0,0.9824432134628296,0.44376111030578613,0.1575462818145752,0.2620062282271757,worker1,worker1,worker1,0,0.44376111030578613,0.0,0.0
model_0,24,1,0.8846616744995117,0,0,1,1,0.9617960453033447,0.7925701141357422,0.09209156036376953,0.10409805580858851,worker1,worker1,worker1,0,0.7925701141357422,0.0,0.0
model_0,25,1,0.5985386371612549,7,1,0,0,0.6565802097320557,0.4391188621520996,0.15941977500915527,0.26634834430280113,worker1,worker1,worker1,0,0.4391188621520996,0.0,0.0
model_0,26,1,0.6189799308776855,7,7,1,0,0.9997780919075012,0.4507572650909424,0.16822266578674316,0.2717740227024987,worker1,worker1,worker1,0,0.4507572650909424,0.0,0.0
model_0,27,1,0.6031627655029297,5,3,0,0,0.8499209880828857,0.4338357448577881,0.1693270206451416,0.2807318858682419,worker1,worker1,worker1,0,0.4338357448577881,0.0,0.0
model_0,28,1,1.359755277633667,2,2,1,2,0.9469241499900818,1.209247350692749,0.15050792694091797,0.11068751077241007,worker1->worker2,worker1,worker2,0,0.7524752616882324,0.4567720890045166,0.0
model_0,29,1,0.612363338470459,8,8,1,0,0.6062305569648743,0.4481382369995117,0.16422510147094727,0.2681824517469372,worker1,worker1,worker1,0,0.4481382369995117,0.0,0.0
model_0,30,1,0.8594498634338379,0,0,1,1,0.9941695928573608,0.7591991424560547,0.1002507209777832,0.11664522300026021,worker1,worker1,worker1,0,0.7591991424560547,0.0,0.0
model_0,31,1,0.8960306644439697,0,0,1,1,0.9898589253425598,0.7302699089050293,0.16576075553894043,0.18499451203693232,worker1,worker1,worker1,0,0.7302699089050293,0.0,0.0
model_0,32,1,0.5483250617980957,1,1,1,0,0.9979535341262817,0.45067715644836426,0.09764790534973145,0.17808397272508286,worker1,worker1,worker1,0,0.45067715644836426,0.0,0.0
model_0,33,1,0.8862006664276123,0,0,1,1,0.7036670446395874,0.7266862392425537,0.1595144271850586,0.17999808985484242,worker1,worker1,worker1,0,0.7266862392425537,0.0,0.0
model_0,34,1,0.8889834880828857,4,4,1,1,0.8726400136947632,0.7904150485992432,0.09856843948364258,0.11087769436101427,worker1,worker1,worker1,0,0.7904150485992432,0.0,0.0
model_0,35,1,0.9094207286834717,0,0,1,1,0.9990750551223755,0.740015983581543,0.1694047451019287,0.18627763779606002,worker1,worker1,worker1,0,0.740015983581543,0.0,0.0
model_0,36,1,0.915093183517456,2,2,1,1,0.9937775135040283,0.7525076866149902,0.16258549690246582,0.17767097365703893,worker1,worker1,worker1,0,0.7525076866149902,0.0,0.0
model_0,37,1,0.6124899387359619,6,6,1,0,0.9394316673278809,0.45572710037231445,0.15676283836364746,0.2559435322107818,worker1,worker1,worker1,0,0.45572710037231445,0.0,0.0
model_0,38,1,0.9182934761047363,4,4,1,1,0.9972642660140991,0.7878098487854004,0.13048362731933594,0.14209360157150194,worker1,worker1,worker1,0,0.7878098487854004,0.0,0.0
model_0,39,1,0.8887453079223633,2,2,1,1,0.8722050189971924,0.7895169258117676,0.0992283821105957,0.11164996453546829,worker1,worker1,worker1,0,0.7895169258117676,0.0,0.0
model_0,40,1,0.5534372329711914,7,7,1,0,0.5498101115226746,0.46158576011657715,0.09185147285461426,0.16596547428061367,worker1,worker1,worker1,0,0.46158576011657715,0.0,0.0
model_0,41,1,0.628143310546875,8,1,0,0,0.6568609476089478,0.4679887294769287,0.1601545810699463,0.2549650348588641,worker1,worker1,worker1,0,0.4679887294769287,0.0,0.0
model_0,42,1,0.8538920879364014,5,5,1,1,0.9971442818641663,0.7601873874664307,0.0937047004699707,0.10973834023503672,worker1,worker1,worker1,0,0.7601873874664307,0.0,0.0
model_0,43,1,0.6001584529876709,3,3,1,0,0.9589326977729797,0.43575453758239746,0.16440391540527344,0.27393418285929033,worker1,worker1,worker1,0,0.43575453758239746,0.0,0.0
model_0,44,1,0.6025772094726562,9,9,1,0,0.7012901902198792,0.4302067756652832,0.17237043380737305,0.2860553487547638,worker1,worker1,worker1,0,0.4302067756652832,0.0,0.0
model_0,45,1,0.6003310680389404,1,1,1,0,0.8807229995727539,0.4484562873840332,0.15187478065490723,0.25298504232177416,worker1,worker1,worker1,0,0.4484562873840332,0.0,0.0
model_0,46,1,0.5626397132873535,0,8,0,0,0.9958209991455078,0.46988964080810547,0.09275007247924805,0.16484807291212017,worker1,worker1,worker1,0,0.46988964080810547,0.0,0.0
