model_instance_id,sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,protocol_bytes,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker1_request_bytes,worker1_response_bytes,worker2_compute_time_sec,worker2_request_bytes,worker2_response_bytes,worker3_compute_time_sec,worker3_request_bytes,worker3_response_bytes
model_0,0,1,0.6271438598632812,5,4,0,1,0.7684621810913086,2889166,0.29373717308044434,0.3334066867828369,0.5316271243658837,worker1->worker3,worker1,worker3,0,0.192230224609375,787818,1050063,0.0,0,0,0.10150694847106934,1049982,1303
model_0,1,1,0.2683138847351074,0,0,1,0,0.7079341411590576,789121,0.18511128425598145,0.08320260047912598,0.31009427842792275,worker1,worker1,worker1,0,0.18511128425598145,787818,1303,0.0,0,0,0.0,0,0
model_0,2,1,0.26659512519836426,7,7,1,0,0.754855215549469,789120,0.18334102630615234,0.08325409889221191,0.3122866512666554,worker1,worker1,worker1,0,0.18334102630615234,787818,1302,0.0,0,0,0.0,0,0
model_0,3,1,0.26792049407958984,8,8,1,0,0.9959115982055664,789121,0.1857306957244873,0.08218979835510254,0.30676935946037337,worker1,worker1,worker1,0,0.1857306957244873,787818,1303,0.0,0,0,0.0,0,0
model_0,4,1,0.26596975326538086,7,7,1,0,0.692030131816864,789120,0.1847066879272461,0.08126306533813477,0.30553498787154054,worker1,worker1,worker1,0,0.1847066879272461,787818,1302,0.0,0,0,0.0,0,0
model_0,5,1,0.2679734230041504,2,2,1,0,0.8965718746185303,789121,0.1855785846710205,0.08239483833312988,0.3074739181573754,worker1,worker1,worker1,0,0.1855785846710205,787818,1303,0.0,0,0,0.0,0,0
model_0,6,1,0.2663693428039551,5,5,1,0,0.9754928350448608,789121,0.18466782569885254,0.08170151710510254,0.30672267403247666,worker1,worker1,worker1,0,0.18466782569885254,787818,1303,0.0,0,0,0.0,0,0
model_0,7,1,0.26925039291381836,1,1,1,0,0.5698394775390625,789121,0.18545889854431152,0.08379149436950684,0.3112028675714015,worker1,worker1,worker1,0,0.18545889854431152,787818,1303,0.0,0,0,0.0,0,0
model_0,8,1,0.46355509757995605,6,3,0,1,0.6045675277709961,2889166,0.2795114517211914,0.18404364585876465,0.39702647391774176,worker1->worker3,worker1,worker3,0,0.1848151683807373,787818,1050063,0.0,0,0,0.0946962833404541,1049982,1303
model_0,9,1,0.46480584144592285,2,2,1,1,0.644704282283783,2889165,0.278531551361084,0.18627429008483887,0.4007572054287762,worker1->worker3,worker1,worker3,0,0.18384146690368652,787818,1050063,0.0,0,0,0.09469008445739746,1049982,1302
model_0,10,1,0.548814058303833,0,0,1,2,0.8234567046165466,2889178,0.36333560943603516,0.18547844886779785,0.33796227713451493,worker1->worker3->worker3,worker1,worker3,0,0.18236613273620605,787821,1050066,0.0,0,0,0.1809694766998291,1049985,1306
model_0,11,1,0.2726013660430908,8,8,1,0,0.9809629917144775,789127,0.18412375450134277,0.08847761154174805,0.3245677482326415,worker1,worker1,worker1,0,0.18412375450134277,787821,1306,0.0,0,0,0.0,0,0
model_0,12,1,0.2780416011810303,0,8,0,0,0.8481888175010681,789127,0.1835925579071045,0.09444904327392578,0.3396939266380893,worker1,worker1,worker1,0,0.1835925579071045,787821,1306,0.0,0,0,0.0,0,0
model_0,13,1,0.5170824527740479,4,7,0,1,0.6618873476982117,2889178,0.28217315673828125,0.2349092960357666,0.45429755888161244,worker1->worker3,worker1,worker3,0,0.18649053573608398,787821,1050066,0.0,0,0,0.09568262100219727,1049985,1306
