model_instance_id,sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.4192664623260498,1,1,1,0,0.995563268661499,0.24181413650512695,0.17745232582092285,0.4232447423446047,worker1,worker1,worker1,0,0.24181413650512695,0.0,0.0
model_0,1,1,0.3090076446533203,4,4,1,0,0.856167733669281,0.20210528373718262,0.1069023609161377,0.3459537741730398,worker1,worker1,worker1,0,0.20210528373718262,0.0,0.0
model_0,2,1,0.35598325729370117,3,3,1,1,0.9996527433395386,0.27399373054504395,0.08198952674865723,0.2303184913020008,worker1,worker1,worker1,0,0.27399373054504395,0.0,0.0
model_0,3,1,0.27190423011779785,7,7,1,0,0.8422612547874451,0.18604087829589844,0.08586335182189941,0.31578527404557327,worker1,worker1,worker1,0,0.18604087829589844,0.0,0.0
model_0,4,1,0.2725367546081543,3,3,1,0,0.927603006362915,0.1893310546875,0.0832056999206543,0.305300839295181,worker1,worker1,worker1,0,0.1893310546875,0.0,0.0
model_0,5,1,0.27061033248901367,0,0,1,0,0.8816998600959778,0.18844079971313477,0.0821695327758789,0.30364521568744923,worker1,worker1,worker1,0,0.18844079971313477,0.0,0.0
model_0,6,1,0.8397305011749268,5,3,0,3,0.723599910736084,0.6805891990661621,0.15914130210876465,0.18951473346043607,worker1->worker3->worker3,worker1,worker3,0,0.2799375057220459,0.0,0.4006516933441162
model_0,7,1,0.2901041507720947,9,9,1,0,0.9275549054145813,0.1872246265411377,0.10287952423095703,0.35462961821521466,worker1,worker1,worker1,0,0.1872246265411377,0.0,0.0
model_0,8,1,0.2752232551574707,3,3,1,0,0.9031780958175659,0.18645048141479492,0.08877277374267578,0.3225482297703509,worker1,worker1,worker1,0,0.18645048141479492,0.0,0.0
model_0,9,1,0.27066922187805176,8,8,1,0,0.9396247267723083,0.1877155303955078,0.08295369148254395,0.30647626245409676,worker1,worker1,worker1,0,0.1877155303955078,0.0,0.0
model_0,10,1,0.36075448989868164,5,5,1,1,0.7627345323562622,0.27671289443969727,0.08404159545898438,0.23296063614506243,worker1,worker1,worker1,0,0.27671289443969727,0.0,0.0
