model_instance_id,sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.4205756187438965,6,6,1,0,0.7478315234184265,0.24590539932250977,0.17467021942138672,0.4153122806858418,worker1,worker1,worker1,0,0.24590539932250977,0.0,0.0
model_0,1,1,0.3842740058898926,1,1,1,1,0.7282442450523376,0.2804851531982422,0.10378885269165039,0.27009074540782074,worker1,worker1,worker1,0,0.2804851531982422,0.0,0.0
model_0,2,1,0.35692667961120605,0,8,0,1,0.9037606716156006,0.270693302154541,0.08623337745666504,0.24159969647154855,worker1,worker1,worker1,0,0.270693302154541,0.0,0.0
model_0,3,1,0.3577423095703125,8,8,1,1,0.9793621301651001,0.2725963592529297,0.08514595031738281,0.2380091703988057,worker1,worker1,worker1,0,0.2725963592529297,0.0,0.0
model_0,4,1,0.26459622383117676,5,5,1,0,0.9302339553833008,0.18009614944458008,0.08450007438659668,0.3193548009230517,worker1,worker1,worker1,0,0.18009614944458008,0.0,0.0
model_0,5,1,0.36007022857666016,5,5,1,1,0.9959189295768738,0.2745695114135742,0.08550071716308594,0.23745566941500842,worker1,worker1,worker1,0,0.2745695114135742,0.0,0.0
model_0,6,1,0.2631850242614746,8,8,1,0,0.9895045757293701,0.17849302291870117,0.08469200134277344,0.32179643040263506,worker1,worker1,worker1,0,0.17849302291870117,0.0,0.0
model_0,7,1,0.26901817321777344,6,6,1,0,0.8709195852279663,0.18555355072021484,0.0834646224975586,0.3102564466155711,worker1,worker1,worker1,0,0.18555355072021484,0.0,0.0
model_0,8,1,0.35854387283325195,9,1,0,1,0.7913508415222168,0.2747352123260498,0.08380866050720215,0.2337472952610713,worker1,worker1,worker1,0,0.2747352123260498,0.0,0.0
model_0,9,1,0.26323986053466797,6,6,1,0,0.8974407911300659,0.17871928215026855,0.08452057838439941,0.3210781916261815,worker1,worker1,worker1,0,0.17871928215026855,0.0,0.0
model_0,10,1,0.35946106910705566,9,9,1,1,0.9642518162727356,0.2741854190826416,0.08527565002441406,0.23723194902927594,worker1,worker1,worker1,0,0.2741854190826416,0.0,0.0
model_0,11,1,0.27019715309143066,7,7,1,0,0.9970554113388062,0.18442749977111816,0.0857696533203125,0.3174335937258722,worker1,worker1,worker1,0,0.18442749977111816,0.0,0.0
model_0,12,1,0.35679006576538086,1,1,1,1,0.9122942686080933,0.27326250076293945,0.0835275650024414,0.23410843803416803,worker1,worker1,worker1,0,0.27326250076293945,0.0,0.0
model_0,13,1,0.2631540298461914,9,1,0,0,0.9278730750083923,0.17818832397460938,0.08496570587158203,0.3228744242345173,worker1,worker1,worker1,0,0.17818832397460938,0.0,0.0
model_0,14,1,0.2673518657684326,8,8,1,0,0.9989147186279297,0.1832582950592041,0.08409357070922852,0.31454267381872825,worker1,worker1,worker1,0,0.1832582950592041,0.0,0.0
model_0,15,1,0.268146276473999,8,0,0,0,0.6284936666488647,0.1848602294921875,0.08328604698181152,0.3105993045176125,worker1,worker1,worker1,0,0.1848602294921875,0.0,0.0
model_0,16,1,0.27527427673339844,9,9,1,0,0.9118841886520386,0.189774751663208,0.08549952507019043,0.31059758319879716,worker1,worker1,worker1,0,0.189774751663208,0.0,0.0
model_0,17,1,0.2708909511566162,7,3,0,0,0.6617220044136047,0.18629693984985352,0.0845940113067627,0.3122806832253857,worker1,worker1,worker1,0,0.18629693984985352,0.0,0.0
model_0,18,1,0.273789644241333,7,7,1,0,0.8073514699935913,0.19070982933044434,0.08307981491088867,0.30344396385444594,worker1,worker1,worker1,0,0.19070982933044434,0.0,0.0
