model_instance_id,sample_index,batch_size,inference_time_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.38030004501342773,1,1,1,0,0.9988794922828674,0.20826244354248047,0.17203760147094727,0.4523733397530177,worker1,worker1,worker1,0,0.20826244354248047,0.0,0.0
model_0,1,1,0.28131771087646484,4,4,1,0,0.8723108768463135,0.18651533126831055,0.0948023796081543,0.3369939962641915,worker1,worker1,worker1,0,0.18651533126831055,0.0,0.0
model_0,2,1,0.8125371932983398,3,2,0,3,0.6412728428840637,0.5321915149688721,0.2803456783294678,0.3450250408740773,worker1->worker3->worker2,worker1,worker2,0,0.2820253372192383,0.10483789443969727,0.14532828330993652
model_0,3,1,0.3576200008392334,3,3,1,1,0.9815324544906616,0.27072715759277344,0.08689284324645996,0.24297534545760008,worker1,worker1,worker1,0,0.27072715759277344,0.0,0.0
model_0,4,1,0.2661144733428955,0,0,1,0,0.8155949115753174,0.18115448951721191,0.0849599838256836,0.31926104115430964,worker1,worker1,worker1,0,0.18115448951721191,0.0,0.0
model_0,5,1,0.526500940322876,2,2,1,2,0.8241358995437622,0.3774890899658203,0.14901185035705566,0.2830229519925916,worker1->worker3,worker1,worker3,0,0.2768106460571289,0.0,0.1006784439086914
model_0,6,1,0.2746553421020508,4,4,1,0,0.7399641871452332,0.17990970611572266,0.09474563598632812,0.3449619266867363,worker1,worker1,worker1,0,0.17990970611572266,0.0,0.0
model_0,7,1,0.26259517669677734,7,7,1,0,0.9921424388885498,0.17814874649047852,0.08444643020629883,0.3215840872195852,worker1,worker1,worker1,0,0.17814874649047852,0.0,0.0
model_0,8,1,0.35213732719421387,3,4,0,1,0.9545087814331055,0.2678654193878174,0.08427190780639648,0.2393154638784377,worker1,worker1,worker1,0,0.2678654193878174,0.0,0.0
model_0,9,1,0.35471653938293457,6,1,0,1,0.6541396379470825,0.26940035820007324,0.08531618118286133,0.24051932095209738,worker1,worker1,worker1,0,0.26940035820007324,0.0,0.0
model_0,10,1,0.35479092597961426,3,5,0,1,0.8310816884040833,0.2688615322113037,0.08592939376831055,0.24219727021216975,worker1,worker1,worker1,0,0.2688615322113037,0.0,0.0
model_0,11,1,0.2665257453918457,9,9,1,0,0.9904139637947083,0.18056511878967285,0.08596062660217285,0.32252278846755944,worker1,worker1,worker1,0,0.18056511878967285,0.0,0.0
model_0,12,1,0.3592214584350586,0,0,1,1,0.9434777498245239,0.27466297149658203,0.08455848693847656,0.23539375210727664,worker1,worker1,worker1,0,0.27466297149658203,0.0,0.0
model_0,13,1,0.2663078308105469,9,9,1,0,0.9857732653617859,0.1814274787902832,0.08488035202026367,0.3187302144361204,worker1,worker1,worker1,0,0.1814274787902832,0.0,0.0
model_0,14,1,0.3606562614440918,6,6,1,1,0.6908254027366638,0.27582693099975586,0.08482933044433594,0.23520825648409271,worker1,worker1,worker1,0,0.27582693099975586,0.0,0.0
