model_instance_id,sample_index,batch_size,latency_sec,predicted_class,true_class,correct,exit_id,confidence,remote_compute_time_sec,communication_overhead_sec,communication_overhead_ratio,path,entry_worker_id,terminal_worker_id,assigned_partition_id,worker1_compute_time_sec,worker2_compute_time_sec,worker3_compute_time_sec
model_0,0,1,0.9717552661895752,7,7,1,2,0.9180327653884888,0.7179293632507324,0.2538259029388428,0.26120352703015354,worker1->worker3,worker1,worker3,0,0.44997668266296387,0.0,0.26795268058776855
model_0,1,1,0.31067919731140137,7,7,1,0,0.9738710522651672,0.22249293327331543,0.08818626403808594,0.28384991593014414,worker1,worker1,worker1,0,0.22249293327331543,0.0,0.0
model_0,2,1,0.3018677234649658,4,4,1,0,0.9769994616508484,0.21938061714172363,0.08248710632324219,0.27325580017770756,worker1,worker1,worker1,0,0.21938061714172363,0.0,0.0
model_0,3,1,0.2985243797302246,5,5,1,0,0.873202919960022,0.2159562110900879,0.08256816864013672,0.27658769014026013,worker1,worker1,worker1,0,0.2159562110900879,0.0,0.0
model_0,4,1,0.3017618656158447,7,7,1,0,0.9757948517799377,0.21924591064453125,0.08251595497131348,0.27344725882746124,worker1,worker1,worker1,0,0.21924591064453125,0.0,0.0
model_0,5,1,0.3004171848297119,3,5,0,0,0.5598456263542175,0.21450376510620117,0.08591341972351074,0.28598037682900795,worker1,worker1,worker1,0,0.21450376510620117,0.0,0.0
model_0,6,1,0.9282419681549072,3,5,0,3,0.47024303674697876,0.7465832233428955,0.18165874481201172,0.1957019301476962,worker1->worker3->worker2,worker1,worker2,0,0.36481428146362305,0.14489269256591797,0.2368762493133545
model_0,7,1,0.30315113067626953,5,5,1,0,0.6968898177146912,0.2190237045288086,0.08412742614746094,0.27750985444055404,worker1,worker1,worker1,0,0.2190237045288086,0.0,0.0
model_0,8,1,0.2951655387878418,4,4,1,0,0.9660810232162476,0.21233534812927246,0.08283019065856934,0.28062283625225565,worker1,worker1,worker1,0,0.21233534812927246,0.0,0.0
model_0,9,1,0.30039525032043457,2,2,1,0,0.7802844643592834,0.21673893928527832,0.08365631103515625,0.2784874625877714,worker1,worker1,worker1,0,0.21673893928527832,0.0,0.0
model_0,10,1,0.3009047508239746,9,9,1,0,0.9993665814399719,0.21747159957885742,0.08343315124511719,0.27727429034154566,worker1,worker1,worker1,0,0.21747159957885742,0.0,0.0
model_0,11,1,0.2980070114135742,4,4,1,0,0.9681211113929749,0.21457362174987793,0.08343338966369629,0.27997123043493566,worker1,worker1,worker1,0,0.21457362174987793,0.0,0.0
model_0,12,1,0.447218656539917,2,2,1,1,0.9639450907707214,0.36433839797973633,0.08288025856018066,0.1853237948555554,worker1,worker1,worker1,0,0.36433839797973633,0.0,0.0
model_0,13,1,0.2993748188018799,5,5,1,0,0.9784713387489319,0.21546387672424316,0.08391094207763672,0.28028724130324156,worker1,worker1,worker1,0,0.21546387672424316,0.0,0.0
